,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
10,10,21-04-2020 12:16:17,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0109,5899,2161,194,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,11,21-04-2020 12:16:17,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0096,5227,1915,172,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
12,12,21-04-2020 12:16:17,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0096,5227,1915,172,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
13,13,21-04-2020 12:16:17,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0116,6347,2325,208,85.0,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
14,14,21-04-2020 12:16:17,Tbilisi,4659482266,3g superskunk top class buds. Indica,,6,нет,Тбилиси,3 гр,0.0164,8885,3255,292,119.0,,,,True,,,,,,3g superskunk top class buds. Indica
15,15,21-04-2020 12:16:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0145,7840,2872,257,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
16,16,21-04-2020 12:16:17,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,3,нет,Тбилиси,3 гр,0.0136,7467,2735,245,100.0,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
17,17,21-04-2020 12:16:17,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 3g.,True,1,нет,Тбилиси,3 гр,0.0912,51519,18872,1691,690.0,,,,,,,,,,VHQ BEST Cocaine 3g.
18,18,21-04-2020 12:16:17,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0075,4107,1504,135,55.0,,,,,,,,,,N booom 4 shtuki (300 aragveli)
19,19,21-04-2020 12:16:17,Tbilisi,54915c4374,Н бооом 4 штуки (Авлабври),True,1,нет,Тбилиси,4 гр,0.0075,4107,1504,135,55.0,,,,,,,,,,N booom 4 shtuki (Avlabvri)
20,20,21-04-2020 12:16:17,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0075,4107,1504,135,55.0,,,,,,,,,,N booom 4 shtuki (vazisubani)
21,21,21-04-2020 12:16:17,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,4,нет,Тбилиси,4 гр,0.0075,4107,1504,135,55.0,,,,True,,,,,,N booom 4 shtuki (gldani)
22,22,21-04-2020 12:16:17,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0274,14858,5443,488,199.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
23,23,21-04-2020 12:16:17,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0419,23893,8752,784,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,21-04-2020 12:16:17,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0405,22400,8205,735,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,21-04-2020 12:16:17,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.023,12619,4622,414,169.0,,True,,,,,,,,5gr Stardawg Auto WEED BUDS
