,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
21,16-03-2020 23:11:12,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0135,5856,2192,185,79,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
22,16-03-2020 23:11:12,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0136,5856,2192,185,79,,,True,,,,,,,,2g super Skunk top class buds. Indica
23,16-03-2020 23:11:12,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.062,26685,9990,842,360,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
24,16-03-2020 23:11:12,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0605,28909,10823,913,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
25,16-03-2020 23:11:12,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0054,2594,971,82,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
26,16-03-2020 23:11:12,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0457,20687,7693,654,,,,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
27,16-03-2020 23:11:12,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0181,7783,2914,246,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
28,16-03-2020 23:11:12,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0496,23720,8880,749,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,16-03-2020 23:11:12,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0507,22238,8325,702,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,16-03-2020 23:11:12,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0622,28134,10462,889,,,,,340,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,16-03-2020 23:11:12,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0302,12972,4856,410,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,16-03-2020 23:11:12,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1343,58337,21839,1842,787,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
33,16-03-2020 23:11:12,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0101,4818,1804,152,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,16-03-2020 23:12:03,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0265,12601,4718,398,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
35,16-03-2020 23:12:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0101,4818,1804,152,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,16-03-2020 23:12:03,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0558,24091,9019,761,325,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
37,16-03-2020 23:12:03,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0626,27056,10129,854,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
38,16-03-2020 23:12:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0458,19792,7409,625,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
39,16-03-2020 23:12:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0154,7339,2747,232,99,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
40,16-03-2020 23:12:03,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0658,29650,11100,936,400,,,,,,,,,,,gashish evro 10g
41,16-03-2020 23:12:03,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1089,47070,17621,1486,635,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
42,16-03-2020 23:12:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,15,5,Тбилиси,0.27 гр,0.0393,16827,6299,531,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
43,16-03-2020 23:12:03,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,нет,1,Тбилиси,0.35 гр,0.0395,17049,6383,538,230,,,,,,,,,,,Methadone HQ in city 0.35g
44,16-03-2020 23:12:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.1126,48182,18038,1521,650,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
45,16-03-2020 23:12:03,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1022,43734,16373,1381,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,16-03-2020 23:12:03,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0686,29650,11100,936,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
