,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,29-06-2020 16:04:53,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0102,6924,2653,235,88,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,29-06-2020 16:04:53,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0126,8394,3228,286,,True,120,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,29-06-2020 16:04:53,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,10,нет,Тбилиси,0.5 гр,0.0035,2308,888,79,,True,33,,,,,,,0.5 gr HYBRID buds
3,29-06-2020 16:04:53,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0147,9793,3766,334,,True,140,,,,,,,"Black Geroin, Sirec 0.5g"
4,29-06-2020 16:04:53,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,1 гр,0.0063,4197,1614,143,,,60,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,29-06-2020 16:04:53,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,6,нет,Тбилиси,1 гр,0.0062,4127,1587,141,,,59,True,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
6,29-06-2020 16:04:53,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4127,1587,141,,,59,True,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
7,29-06-2020 16:04:53,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0056,3707,1426,126,,,53,True,,,,,,1G ---> Big Devil (BTC - Sale)
8,29-06-2020 16:04:53,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,11,нет,Тбилиси,1 гр,0.0052,3498,1345,119,,True,50,,,,,,,1G ---> Pineapple (BTC - Sale)
9,29-06-2020 16:04:53,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,7,нет,Тбилиси,1 гр,0.0051,3428,1318,117,,True,49,,,,,,,1gr HYBRID o.g
10,29-06-2020 16:04:53,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,1 гр,0.0051,3428,1318,117,,True,49,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,29-06-2020 16:04:53,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0061,4057,1560,138,,,58,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
12,29-06-2020 16:04:53,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,,1,нет,Тбилиси,2 гр,0.0398,26582,10222,906,,True,380,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
13,29-06-2020 16:04:53,Tbilisi,9Y6T,WeedShop,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0038,2798,1076,95,,True,40,,,,,,,listja+boshki v trihomah 2g
14,29-06-2020 16:04:53,Tbilisi,A3I9,Joookerrr,марки н-боом 2 шт.,,10,нет,Тбилиси,2 гр,0.0037,2448,942,83,,,35,True,,,,,,marki n-boom 2 sht.
15,29-06-2020 16:04:53,Tbilisi,1MZLP,WeedbooM,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0089,5946,2287,203,,,85,True,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
16,29-06-2020 16:04:53,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,21,нет,Тбилиси,3 гр,0.0091,6086,2340,207,,True,87,,True,,,,,3 gr georgian weed. Package on magnet
17,29-06-2020 16:04:53,Tbilisi,2LY77,SveetWeed,5 + GRAMM NEW BEASTWEED,,2,нет,Тбилиси,5 гр,0.01,7345,2825,250,,True,105,,,,,,,5 + GRAMM NEW BEASTWEED
