,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,26-05-2020 20:04:31,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.0111,7114,2711,240,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,26-05-2020 20:04:31,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0061,3913,1491,132,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
2,26-05-2020 20:04:31,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,34,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,26-05-2020 20:04:31,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,26-05-2020 20:04:31,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,26-05-2020 20:04:31,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0056,3557,1356,120,50,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
6,26-05-2020 20:04:31,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0261,16718,6371,564,235,,,,,,,,,,,Cocaine Pure VHQ 1g
7,26-05-2020 20:04:31,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,6,нет,Тбилиси,1 гр,0.0058,3699,1410,125,52,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
8,26-05-2020 20:04:31,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0908,64027,24399,2160,900,,,,,,,,,,,Metadon 1gr
9,26-05-2020 20:04:31,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0268,17003,6479,573,239,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
10,26-05-2020 20:04:31,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0122,7754,2955,262,109,True,,,,,,,,,,✨ 1g. MDMA ✨
11,26-05-2020 20:04:31,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,8,нет,Тбилиси,2 гр,0.0098,6260,2386,211,88,,,True,,,,,,,,2gr HYBRID buds
12,26-05-2020 20:04:31,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0118,7470,2847,252,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,26-05-2020 20:04:31,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0133,8466,3226,286,119,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,26-05-2020 20:04:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,9,нет,Тбилиси,4 гр,0.0119,7612,2901,257,107,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
15,26-05-2020 20:04:31,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,2,нет,Тбилиси,5 гр,0.0154,9889,3768,334,139,True,,,,,,,,,,5 gr georgian weed. Package on magnet
16,26-05-2020 20:04:31,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0196,12450,4744,420,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,26-05-2020 20:04:31,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,1,нет,Тбилиси,10 гр,0.0243,15580,5937,526,219,True,,,,,,,,,,10 gr georgian weed. Package on magnet
18,26-05-2020 20:04:31,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0484,32013,12200,1080,450,,,,,,,,,,,Gashish Evro 10gr
19,26-05-2020 20:04:31,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0828,55276,21064,1864,777,,,,,,,,,,,Gashish Evro 20gr
20,26-05-2020 20:04:31,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0081,5691,2169,192,80,,,,,,,,,,,GABAGAMA 50 SHTUK
