,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
0,0,13-08-2020 16:12:41,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,24,нет,Тбилиси,0.3 гр,0.0065,5889,2216,197,80.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,13-08-2020 16:12:41,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,6,нет,Тбилиси,0.5 гр,0.0028,2429,914,81,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,13-08-2020 16:12:41,Tbilisi,21de5577be,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,9,нет,Тбилиси,0.5 гр,0.0025,2208,831,74,30.0,True,,,,,,,,,,,,0.5 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
3,3,13-08-2020 16:12:41,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,1,нет,Тбилиси,0.5 гр,0.0024,2061,776,69,28.0,,,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
4,4,13-08-2020 16:12:41,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0025,2208,831,74,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,5,13-08-2020 16:12:41,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,8,нет,Тбилиси,0.5 гр,0.0021,1840,693,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,13-08-2020 16:12:41,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,6,нет,Тбилиси,0.5 гр,0.0021,1840,693,61,25.0,,,,,,,,,,,,,Boshki OG Kush 05g.
7,7,13-08-2020 16:12:41,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0046,4048,1524,135,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,13-08-2020 16:12:41,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,9,нет,Тбилиси,1 гр,0.0051,4416,1662,148,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
9,9,13-08-2020 16:12:41,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0051,4416,1662,148,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,13-08-2020 16:12:41,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3901,1468,130,53.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,13-08-2020 16:12:41,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0046,4048,1524,135,55.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,13-08-2020 16:12:41,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4048,1524,135,55.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,13-08-2020 16:12:41,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0047,4048,1524,135,55.0,,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
14,14,13-08-2020 16:12:41,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0046,4048,1524,135,55.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
15,15,13-08-2020 16:12:41,Tbilisi,67187efef3,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3754,1413,125,51.0,,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
16,16,13-08-2020 16:12:41,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,17,нет,Тбилиси,1 гр,0.0041,3607,1357,120,49.0,,,,,,,,,,,,,1gr HYBRID o.g
17,17,13-08-2020 16:12:41,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,13,нет,Тбилиси,1 гр,0.0049,4196,1579,140,57.0,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
18,18,13-08-2020 16:12:41,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,11,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
19,19,13-08-2020 16:12:41,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3975,1496,133,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
20,20,13-08-2020 16:12:41,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4269,1607,143,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
21,21,13-08-2020 16:12:41,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4048,1524,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
22,22,13-08-2020 16:12:41,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,1,нет,Тбилиси,1 гр,0.0042,4048,1524,135,55.0,,,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
23,23,13-08-2020 16:12:41,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,10,нет,Тбилиси,1 гр,0.0036,3239,1219,108,44.0,,,,,,,,,,,,,TYson Budds 1G Skidka 5%
