,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
96,96,04-05-2020 03:45:29,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3189,218179,81600,7243,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
97,97,04-05-2020 03:45:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2126,145453,54400,4829,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
98,98,04-05-2020 03:45:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2658,181816,68000,6036,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
99,99,04-05-2020 03:45:29,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6272,429085,160480,14244,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
100,100,04-05-2020 03:45:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.489,334541,125120,11106,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
101,101,04-05-2020 03:45:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7973,545447,204000,18107,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
102,102,04-05-2020 03:45:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9036,618174,231200,20522,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
103,103,04-05-2020 03:45:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14545,5440,483,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
104,104,04-05-2020 03:45:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,14545,5440,483,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
105,105,04-05-2020 03:46:04,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,18182,6800,604,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
106,106,04-05-2020 03:46:04,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0213,14545,5440,483,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
107,107,04-05-2020 03:46:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6085,1090895,408000,36215,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
108,108,04-05-2020 03:47:35,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0037,2532,950,84,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
109,109,04-05-2020 03:47:35,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,4747,1782,158,,,,,,,,60.0,,,True,,Batumi n-booom 5 shtuk
110,110,04-05-2020 03:47:35,Batumi,3c4662c591,шишки марихуаны 5G,,7,нет,Батуми,5 гр,0.0319,21818,8160,724,300.0,,,,,,,,,True,,,shishki marihuany 5G
111,111,04-05-2020 03:47:35,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2338,159998,59840,5311,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
112,112,04-05-2020 03:47:35,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1663,147,,,,,,,,56.0,,,True,,Marki N-VoooooM!!!! 4 shtuki
113,113,04-05-2020 03:47:36,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,8000,2992,266,110.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
114,114,04-05-2020 03:47:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7273,2720,241,100.0,,,,,,,,,,True,,kur'er v Batumi
115,115,04-05-2020 03:47:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,18182,6800,604,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
116,116,04-05-2020 03:47:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,18182,6800,604,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
117,117,04-05-2020 03:47:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6085,1090895,408000,36215,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
118,118,04-05-2020 03:47:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,36363,13600,1207,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
119,119,04-05-2020 03:49:08,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,16000,5984,531,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
120,120,04-05-2020 03:49:08,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0553,37818,14144,1255,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
121,121,04-05-2020 03:49:08,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0406,28363,10608,942,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
122,122,04-05-2020 03:49:08,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,14545,5440,483,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
