,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,04-05-2020 03:44:08,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,5,нет,Тбилиси,1 гр,0.0049,3709,1387,123,51.0,,True,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,04-05-2020 03:44:08,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0061,4145,1550,138,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,04-05-2020 03:44:08,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0061,4145,1550,138,57.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,04-05-2020 03:44:08,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,3,нет,Тбилиси,1 гр,0.0058,4000,1496,133,55.0,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
14,14,04-05-2020 03:44:08,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,7,нет,Тбилиси,1 гр,0.0051,3491,1306,116,48.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
15,15,04-05-2020 03:44:08,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0051,3491,1306,116,48.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
16,16,04-05-2020 03:44:08,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0051,3491,1306,116,48.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
17,17,04-05-2020 03:44:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.025,17091,6392,567,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
18,18,04-05-2020 03:44:08,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.004,2982,1115,99,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
19,19,04-05-2020 03:44:08,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,3,нет,Тбилиси,1 гр,0.0058,4000,1496,133,55.0,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
