,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,27-06-2020 23:36:18,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,3,нет,Тбилиси,0.25 гр,0.01,6824,2653,235,88,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,27-06-2020 23:36:18,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0124,8295,3228,286,,True,120,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,27-06-2020 23:36:18,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0155,10369,4035,358,,True,150,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,27-06-2020 23:36:18,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,10,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,,30,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,27-06-2020 23:36:18,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,6,нет,Тбилиси,0.5 гр,0.0027,2005,780,69,,,29,,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,27-06-2020 23:36:18,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.0061,4079,1587,141,,True,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,27-06-2020 23:36:18,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,22,нет,Тбилиси,1 гр,0.0055,3664,1426,126,,,53,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,27-06-2020 23:36:18,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,13,нет,Тбилиси,1 гр,0.0052,3456,1345,119,,True,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,27-06-2020 23:36:18,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,27-06-2020 23:36:18,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,3,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
