,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Vake,Varketili,€,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-02-2020 22:17:43,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.0118,8359,3186,287,130,,,,,,,,,,,,,Metadon 0.15gr
1,21-02-2020 22:17:43,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,2,нет,Тбилиси,0.25 гр,0.01,6430,2451,220,100,,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,21-02-2020 22:17:43,Tbilisi,LYHBG,Playboy,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,19,нет,Тбилиси,0.5 гр,0.007,4437,1691,152,69,,,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
3,21-02-2020 22:17:43,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale",True,1,нет,Тбилиси,0.5 гр,0.0023,1608,613,55,25,,,,,,,,,,,,,"0,5g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale"
4,21-02-2020 22:17:43,Tbilisi,JVZTQ,partyshop,0.5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,0.5 гр,0.007,4501,1716,154,70,,,,,,,,,,,,,0.5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
5,21-02-2020 22:17:43,Tbilisi,LYHBG,Playboy,0.5 g. Ketamine,True,6,нет,Тбилиси,0.5 гр,0.0059,3794,1446,130,59,,,,,,,,,,,,,0.5 g. Ketamine
6,21-02-2020 22:17:43,Tbilisi,7R3WM,RastaShop,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,11,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29,True,True,True,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
7,21-02-2020 22:17:43,Tbilisi,SF03,CRAZYFROG,"0.5 mdma very strong best quality , import califronia , лучши мдма на саите",True,1,нет,Тбилиси,0.5 гр,0.007,4501,1716,154,70,,,,,,,,,,,,,"0.5 mdma very strong best quality , import califronia , luchshi mdma na saite"
8,21-02-2020 22:17:43,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.009,6366,2426,218,99,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
9,21-02-2020 22:17:43,Tbilisi,5JG6,BenderMan,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.0111,7073,2696,243,110,,,,,,,,,,,,,"Cocaine, 0.5 g"
10,21-02-2020 22:17:43,Tbilisi,5JG6,BenderMan,Ketamine 0.5g,True,3,нет,Тбилиси,0.5 гр,0.006,3858,1471,132,60,,,,,,,,,,,,,Ketamine 0.5g
11,21-02-2020 22:17:43,Tbilisi,UJP9,420Inc,Pineapple Express 0.5G pressed buds only (hydro),True,1,нет,Тбилиси,0.5 гр,0.0028,1800,686,62,28,,,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
12,21-02-2020 22:17:43,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,8,нет,Тбилиси,0.5 гр,0.0104,7009,2672,240,109,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,21-02-2020 22:17:43,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0272,19290,7353,661,300,,,,,,,,,,,,,Metadon 0.6gr
14,21-02-2020 22:17:43,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.015,9645,3677,331,150,,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
15,21-02-2020 22:17:43,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,10,нет,Тбилиси,1 гр,0.012,7716,2941,265,120,,,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
16,21-02-2020 22:17:43,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,8,нет,Тбилиси,1 гр,0.012,7716,2941,265,120,,,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
17,21-02-2020 22:17:43,Tbilisi,BB6E,WEEDSH0P,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,7,нет,Тбилиси,1 гр,0.0035,2251,858,77,35,,,,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
18,21-02-2020 22:17:43,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,9,нет,Тбилиси,1 гр,0.0045,2894,1103,99,45,,True,,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
19,21-02-2020 22:17:43,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,10,нет,Тбилиси,1 гр,0.013,8359,3186,287,130,,,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
20,21-02-2020 22:17:43,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0085,5466,2083,187,85,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
