,time_stamp,region,sell_code,sell_name,description,Тбилиси,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Батуми,Центр,desc_en
53,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0198,13219,5111,453,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
54,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.051,34021,13154,1165,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
55,20-06-2020 01:38:44,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0929,62615,24210,2144,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,20-06-2020 01:38:44,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.0568,38265,14795,1310,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
57,20-06-2020 01:38:44,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0722,48701,18830,1667,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,20-06-2020 01:38:44,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0433,29220,11298,1000,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,20-06-2020 01:38:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0826,55658,21520,1905,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,20-06-2020 01:38:44,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,,нет,10,Тбилиси,10 гр,0.0341,22959,8877,786,330,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
61,20-06-2020 01:38:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2296,154799,59853,5299,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
62,20-06-2020 01:38:44,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,True,,нет,2,Тбилиси,10 гр,0.227,153060,59180,5240,2200,,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
63,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1625,108464,41937,3713,1559,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0822,54893,21224,1879,789,,,,,,,,,,,,💘✨10gram MDMA ✨💘
65,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.0385,25672,9926,879,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,20-06-2020 01:38:44,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0454,30422,11759,1044,,,,,,,,,390,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
