,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-04-2020 18:39:57,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 грамм",True,1,нет,Тбилиси,0.25 гр,0.0049,2950,1096,99,40.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gramm"
1,1,12-04-2020 18:39:57,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,1,нет,Тбилиси,0.5 гр,0.0146,8000,3681,269,,,,,,,,,,,0.5 a-pvp white
2,2,12-04-2020 18:39:57,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0167,9588,3562,322,130.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,12-04-2020 18:39:57,Tbilisi,2f51af8159,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,1,нет,Тбилиси,0.5 гр,0.0036,1991,740,67,27.0,True,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
4,4,12-04-2020 18:39:57,Tbilisi,f25c0d6c5c,1 a-pvp white,True,1,нет,Тбилиси,1 гр,0.0255,14000,6442,470,,,,,,,,,,,1 a-pvp white
5,5,12-04-2020 18:39:57,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,4,нет,Тбилиси,1 гр,0.0074,4056,1507,136,55.0,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
6,6,12-04-2020 18:39:57,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,1,нет,Тбилиси,1 гр,0.0027,1475,548,50,20.0,,,,,,,,,,1 gr listja plus galovki marihuana
7,7,12-04-2020 18:39:57,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,14,нет,Тбилиси,1 гр,0.0297,16152,6001,542,219.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,8,12-04-2020 18:39:57,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,3,нет,Тбилиси,1 гр,0.0074,4056,1507,136,55.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,12-04-2020 18:39:57,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0805,44251,16440,1485,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
10,10,12-04-2020 18:39:57,Tbilisi,54915c4374,MDMA 1 гр,True,1,нет,Тбилиси,1 гр,0.0159,9588,3562,322,130.0,,,,,,,,,,MDMA 1 gr
11,11,12-04-2020 18:39:57,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,23,нет,Тбилиси,1 гр,0.0024,1453,539,49,,,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
12,12,12-04-2020 18:39:57,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1097,66376,24660,2228,900.0,,,,,,,,,,Metadon 1gr
13,13,12-04-2020 18:39:57,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1475,548,50,20.0,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14,12-04-2020 18:39:57,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0101,5531,2055,186,75.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,12-04-2020 18:39:57,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0122,7375,2740,248,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,12-04-2020 18:39:57,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.0093,5089,1891,171,69.0,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
17,17,12-04-2020 18:39:57,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0115,6269,2329,210,85.0,,,True,,,,,,,2g super Skunk top class buds. Indica
18,18,12-04-2020 18:39:57,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0095,5163,1918,173,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
19,19,12-04-2020 18:39:57,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0127,7006,2603,235,95.0,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
20,20,12-04-2020 18:39:57,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0506,30607,11371,1027,415.0,,,,,,,,,,VHQ BEST Cocaine 2g.
21,21,12-04-2020 18:39:57,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,2 гр,0.0043,2581,959,87,35.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
22,22,12-04-2020 18:39:57,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0114,6269,2329,210,85.0,,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
