,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
0,0,04-08-2020 03:01:19,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,5,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,,,,,,,,,,,0.5 Gram Skunk HQ
1,1,04-08-2020 03:01:19,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,1,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32.0,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
2,2,04-08-2020 03:01:19,Tbilisi,16a8841259,0.5 Grm Northen Light,True,1,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,,,,,,,,,,,0.5 Grm Northen Light
3,3,04-08-2020 03:01:19,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0029,2447,922,81,33.0,,,,,,,,,,,0.5 gr HYBRID buds
4,4,04-08-2020 03:01:19,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,9,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32.0,True,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,5,04-08-2020 03:01:19,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,7,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32.0,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
6,6,04-08-2020 03:01:19,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,2,нет,Тбилиси,0.5 гр,0.0025,2076,783,69,28.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,7,04-08-2020 03:01:19,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31.0,True,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
8,8,04-08-2020 03:01:19,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.003,2521,950,83,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,9,04-08-2020 03:01:19,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0027,2225,839,73,30.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10,04-08-2020 03:01:19,Tbilisi,e771f4c371,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,3,нет,Тбилиси,1 гр,0.005,4153,1565,137,56.0,True,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
11,11,04-08-2020 03:01:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
12,12,04-08-2020 03:01:19,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0053,4450,1677,147,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
13,13,04-08-2020 03:01:19,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4450,1677,147,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,04-08-2020 03:01:19,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59.0,,,,,,,,,,,1 gr super lemon haze probnik
15,15,04-08-2020 03:01:19,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
16,16,04-08-2020 03:01:19,Tbilisi,21de5577be,1.0 gr. Afghan kush 100% Natural (Indika),,2,нет,Тбилиси,1 гр,0.0047,3930,1481,130,53.0,True,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
17,17,04-08-2020 03:01:19,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,3,нет,Тбилиси,1 гр,0.0047,3930,1481,130,53.0,True,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
18,18,04-08-2020 03:01:19,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,20,нет,Тбилиси,1 гр,0.0043,3634,1370,120,49.0,,,,,,,,,,,1gr HYBRID o.g
19,19,04-08-2020 03:01:19,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0043,3634,1370,120,49.0,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
20,20,04-08-2020 03:01:19,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0041,3411,1286,113,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
21,21,04-08-2020 03:01:19,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,16,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,Auto Amnesia Haze 1 gr
22,22,04-08-2020 03:01:19,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",,1,нет,Тбилиси,1 гр,0.0044,4079,1537,135,55.0,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
23,23,04-08-2020 03:01:19,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4301,1621,142,58.0,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
24,24,04-08-2020 03:01:19,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0044,3708,1398,122,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
25,25,04-08-2020 03:01:19,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0034,2966,1118,98,40.0,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
