,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
24,13-03-2020 22:22:56,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,8,нет,Тбилиси,1 гр,0.0118,5050,1850,162,69,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
25,13-03-2020 22:22:56,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0203,8783,3217,282,120,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
26,13-03-2020 22:22:56,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,2 гр,0.0108,5123,1877,164,70,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
27,13-03-2020 22:22:56,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,8,нет,Тбилиси,2 гр,0.0139,6587,2413,211,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
28,13-03-2020 22:22:56,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0103,4538,1662,146,62,,,,,True,,,,,,2G ---> INDICA
29,13-03-2020 22:22:56,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0135,5782,2118,185,79,,,,True,,,,,,,2g super Skunk top class buds. Indica
30,13-03-2020 22:22:56,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.06,28543,10456,915,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
31,13-03-2020 22:22:56,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,3,нет,Тбилиси,2 гр,0.0054,2562,938,82,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
32,13-03-2020 22:22:56,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0616,27738,10161,890,379,,,,,,,,,,,Kokain HQ 2g.
33,13-03-2020 22:22:56,Tbilisi,9VLN,AlienShop,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0203,8709,3190,279,119,,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
34,13-03-2020 22:23:26,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0443,20465,7488,662,,,250,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
35,13-03-2020 22:23:26,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0131,6367,2332,204,87,,,,,True,,,,,,3G ---> INDICA
36,13-03-2020 22:23:26,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0175,7685,2815,246,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
37,13-03-2020 22:23:26,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0165,7246,2654,232,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
38,13-03-2020 22:23:26,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0192,8417,3083,270,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
39,13-03-2020 22:23:26,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,9,нет,Тбилиси,4 гр,0.009,4391,1609,141,60,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
40,13-03-2020 22:23:26,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.049,21956,8043,704,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
41,13-03-2020 22:23:26,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0638,29470,10782,953,,,360,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
42,13-03-2020 22:23:26,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0292,12808,4692,411,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
43,13-03-2020 22:23:26,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1299,57599,21099,1847,787,,,,,,True,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
44,13-03-2020 22:23:26,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0098,4757,1743,153,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
45,13-03-2020 22:23:26,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0726,32496,11904,1042,444,,,,,,True,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
46,13-03-2020 22:23:26,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0603,26714,9786,857,365,True,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
47,13-03-2020 22:23:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0441,19541,7158,627,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
48,13-03-2020 22:23:26,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0149,7246,2654,232,99,,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
49,13-03-2020 22:23:26,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0634,29275,10724,939,400,,,,,,,,,,,gashish evro 10g
50,13-03-2020 22:23:26,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.14,62064,22735,1991,848,,,,,,True,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
51,13-03-2020 22:23:26,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.045,19761,7239,634,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
52,13-03-2020 22:23:26,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.038,16833,6166,540,230,,,,,,,,,,,Methadone HQ in city 0.35g
53,13-03-2020 22:23:26,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0611,27080,9920,869,370,,,,,,,,,,,Methadone HQ in city 0.75g
54,13-03-2020 22:23:26,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1156,51232,18767,1643,700,,,,,,,,,,,Methadone HQ in city 1.4g
55,13-03-2020 22:23:26,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0587,26275,9625,843,359,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
56,13-03-2020 22:23:26,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0984,43181,15818,1385,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
57,13-03-2020 22:23:26,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.066,29275,10724,939,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,13-03-2020 22:23:26,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0908,40254,14746,1291,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,13-03-2020 22:23:26,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0258,11417,4182,366,156,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
60,13-03-2020 22:23:26,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0329,14564,5335,467,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,13-03-2020 22:23:26,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0264,11710,4290,376,160,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
62,13-03-2020 22:23:26,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0329,14564,5335,467,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
63,13-03-2020 22:23:26,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0329,14564,5335,467,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
64,13-03-2020 22:23:26,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0239,10612,3887,340,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
65,13-03-2020 22:23:26,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0329,16028,5871,514,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
66,13-03-2020 22:23:26,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,True,нет,1,Тбилиси,5 гр,0.0348,16101,5898,516,220,,,,,,,,,,,Hybrid Gagarin. 5g.
67,13-03-2020 22:23:52,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0513,21956,8043,704,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
68,13-03-2020 22:23:52,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0254,10978,4022,352,150,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
69,13-03-2020 22:23:52,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0308,14638,5362,469,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
70,13-03-2020 22:23:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3996,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
71,13-03-2020 22:23:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4617,219565,80430,7042,3000,,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1469,62869,23030,2016,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
73,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0316,13540,4960,434,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0836,35789,13110,1148,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
75,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0563,24079,8820,772,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
76,13-03-2020 22:23:52,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1524,65869,24129,2113,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,13-03-2020 22:23:52,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1185,51232,18767,1643,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,13-03-2020 22:23:52,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0676,29202,10697,937,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,13-03-2020 22:23:52,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0598,25616,9384,822,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
80,13-03-2020 22:23:52,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1354,58551,21448,1878,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,13-03-2020 22:23:52,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3767,162844,59652,5223,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
