,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,03-04-2020 20:08:33,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,4,нет,Тбилиси,0.2 гр,0.0045,2721,968,91,35,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,03-04-2020 20:08:33,Tbilisi,A3I9,Joookerrr,MDMA 0.210 грам.,True,1,нет,Тбилиси,0.21 гр,0.0045,2721,968,91,35,,,,,,,,,,,MDMA 0.210 gram.
2,03-04-2020 20:08:33,Tbilisi,LGRP8,Walker12,Afghan Kashmir 0.5 ! 27%THC топ товар!BTC 5 % SALE,,5,нет,Тбилиси,0.5 гр,0.0041,2332,830,78,30,True,True,,,,,,,,,Afghan Kashmir 0.5 ! 27%THC top tovar!BTC 5 % SALE
3,03-04-2020 20:08:33,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,2,нет,Тбилиси,0.5 гр,0.0426,23320,8295,777,300,,,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
4,03-04-2020 20:08:33,Tbilisi,TI21,Campaari,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0469,25652,9125,854,330,True,,,,,,,,,,"Metadon VHQ 0,5"
5,03-04-2020 20:08:33,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0156,8473,3014,282,109,True,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,03-04-2020 20:08:33,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,1,нет,Тбилиси,0.65 гр,0.0116,6996,2489,233,90,,,True,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
7,03-04-2020 20:08:33,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,9,нет,Тбилиси,1 гр,0.0077,4664,1659,155,60,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,03-04-2020 20:08:33,Tbilisi,H9FHF,OldStar,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0219,12000,5522,398,,True,,,,,,,,,,1 a-pvp white
9,03-04-2020 20:08:33,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0071,3887,1383,129,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,03-04-2020 20:08:33,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,4,нет,Тбилиси,1 гр,0.0054,2954,1051,98,38,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
11,03-04-2020 20:08:33,Tbilisi,8B31,GEOWEEDSHOP,1gr Mazar 100% Indica. THC high,,1,нет,Тбилиси,1 гр,0.0058,3187,1134,106,41,,,,True,,,,,,,1gr Mazar 100% Indica. THC high
12,03-04-2020 20:08:33,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,1,нет,Тбилиси,1 гр,0.0258,14691,5226,489,189,True,,,,,,,,,,Cocaine Pure VHQ 1g
13,03-04-2020 20:08:33,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,True,5,нет,Тбилиси,1 гр,0.0852,46640,16590,1554,600,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
14,03-04-2020 20:08:33,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,4,нет,Тбилиси,1 гр,0.0994,54413,19355,1813,700,,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
15,03-04-2020 20:08:33,Tbilisi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,5,нет,Тбилиси,1 гр,0.0143,7851,2793,262,101,,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
16,03-04-2020 20:08:33,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0266,14691,5226,489,189,True,,,,,,,,,,Kokain HQ 1g.
17,03-04-2020 20:08:33,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0254,13914,4949,463,179,,,,True,,,,,,,Kokain KOLUMBIA 1g
18,03-04-2020 20:08:33,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1162,69959,24885,2330,900,True,,,,,,,,,,Metadon 1gr
19,03-04-2020 20:08:33,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.0026,1555,553,52,20,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
20,03-04-2020 20:08:33,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0156,8473,3014,282,109,True,,,,,,,,,,✨ 1g. MDMA ✨
21,03-04-2020 20:08:33,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,2 гр,0.0098,5364,1908,179,69,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
22,03-04-2020 20:08:33,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0098,5364,1908,179,69,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
23,03-04-2020 20:08:33,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,2,нет,Тбилиси,2 гр,0.0112,6141,2184,205,79,True,,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
24,03-04-2020 20:08:33,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0113,6141,2184,205,79,,,,,True,,,,,,2g super Skunk top class buds. Indica
