,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Батуми,Центр,desc_en
14,14,05-08-2020 11:08:59,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0052,4403,1677,146,60.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
15,15,05-08-2020 11:08:59,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,1 гр,0.0051,4329,1649,144,59.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
16,16,05-08-2020 11:08:59,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0052,4403,1677,146,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
17,17,05-08-2020 11:08:59,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,10,нет,Тбилиси,1 гр,0.0052,4403,1677,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,05-08-2020 11:08:59,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0048,4036,1537,134,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
19,19,05-08-2020 11:08:59,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0051,4329,1649,144,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
20,20,05-08-2020 11:08:59,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4329,1649,144,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,05-08-2020 11:08:59,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,1 гр,0.0048,4036,1537,134,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
22,22,05-08-2020 11:08:59,Tbilisi,21de5577be,1.0 gr. Afghan kush 100% Natural (Indika),,1,нет,Тбилиси,1 гр,0.0046,3889,1481,129,53.0,True,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
23,23,05-08-2020 11:08:59,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,2,нет,Тбилиси,1 гр,0.0046,3889,1481,129,53.0,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
24,24,05-08-2020 11:08:59,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0052,4403,1677,146,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
25,25,05-08-2020 11:08:59,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,21,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49.0,,,,,,,,,,,,1gr HYBRID o.g
26,26,05-08-2020 11:08:59,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
27,27,05-08-2020 11:08:59,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.004,3376,1286,112,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
