,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,27-05-2020 18:03:31,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0106,7106,2718,240,100.0,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,27-05-2020 18:03:31,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,8,нет,Тбилиси,0.5 гр,0.0058,3909,1495,132,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,27-05-2020 18:03:31,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,19,нет,Тбилиси,0.5 гр,0.0031,2061,788,70,29.0,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,27-05-2020 18:03:31,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,13,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,4,27-05-2020 18:03:31,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0866,63957,24462,2162,900.0,,,,,,,,,,,,Metadon 1gr
5,5,27-05-2020 18:03:31,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4974,1903,168,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
6,6,27-05-2020 18:03:31,Tbilisi,4659482266,3g superskunk top class buds.,,2,нет,Тбилиси,3 гр,0.0134,8883,3398,300,125.0,,,True,,,,,,,,,3g superskunk top class buds.
7,7,27-05-2020 18:03:31,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,3,нет,Тбилиси,3 гр,0.0144,10660,4077,360,150.0,,,,,,,,,,,,3g. marihuana shishki Critical
8,8,27-05-2020 18:03:31,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0112,7462,2854,252,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,9,27-05-2020 18:03:31,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0342,23451,8969,793,330.0,,,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
10,10,27-05-2020 18:03:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0113,7604,2908,257,107.0,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
11,11,27-05-2020 18:03:31,Tbilisi,be97026d1d,!!Critical Kush 5g!!,,2,нет,Тбилиси,5 гр,0.0253,16984,6496,574,239.0,,,,,True,,,,,,,!!Critical Kush 5g!!
12,12,27-05-2020 18:03:31,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,6,нет,Тбилиси,5 гр,0.0147,9878,3778,334,139.0,True,,,,True,,,,,,,5 gr georgian weed. Package on magnet
13,13,27-05-2020 18:03:31,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0187,12436,4757,420,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
14,14,27-05-2020 18:03:31,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,2,нет,Тбилиси,5 гр,0.0267,17766,6795,601,250.0,,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
15,15,27-05-2020 18:03:31,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,3,нет,Тбилиси,10 гр,0.0232,15563,5952,526,219.0,True,,,,True,,,,,,,10 gr georgian weed. Package on magnet
16,16,27-05-2020 18:03:31,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,нет,Тбилиси,10 гр,0.0143,9594,3669,324,135.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
17,17,27-05-2020 18:03:31,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0462,31979,12231,1081,450.0,,,,,,,,,,,,Gashish Evro 10gr
18,18,27-05-2020 18:03:31,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,9,нет,Тбилиси,20 гр,0.0035,2558,978,86,36.0,,,,,,,,,,,,GABAGAMA 20 SHTUK
19,19,27-05-2020 18:03:31,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0789,55216,21119,1866,777.0,,,,,,,,,,,,Gashish Evro 20gr
20,20,27-05-2020 18:03:31,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5685,2174,192,80.0,,,,,,,,,,,,GABAGAMA 50 SHTUK
21,21,27-05-2020 18:03:31,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1925,142127,54360,4804,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,27-05-2020 18:03:31,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13147,5028,444,185.0,,,,,,,,,,,,GABAGAMA 150 shtuk
23,23,27-05-2020 18:03:31,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0225,14923,5708,504,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
24,24,27-05-2020 18:03:31,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0395,26222,10029,886,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,25,27-05-2020 18:03:31,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0619,41146,15737,1391,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,26,27-05-2020 18:03:31,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0423,28425,10872,961,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,27-05-2020 18:03:31,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0148,9949,3805,336,140.0,True,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
28,28,27-05-2020 18:03:31,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0741,49744,19026,1681,700.0,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
29,29,27-05-2020 18:03:31,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,39085,14949,1321,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,27-05-2020 18:03:31,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0249,16700,6387,564,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,27-05-2020 18:03:31,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0254,17055,6523,576,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
