,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,10-03-2020 20:25:09,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,2 гр,0.0096,5690,2041,186,79.0,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,10-03-2020 20:25:09,Tbilisi,64284550d9,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.008,4825,1731,158,67.0,True,,,,,,,,2G ---> INDICA
21,21,10-03-2020 20:25:09,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0444,27296,9793,891,379.0,,,,,,,,,Kokain HQ 2g.
22,22,10-03-2020 20:25:09,Tbilisi,64284550d9,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0103,6698,2403,219,93.0,True,,,,,,,,3G ---> INDICA
23,23,10-03-2020 20:25:09,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0196,11451,4109,374,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
24,24,10-03-2020 20:25:09,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0191,11163,4005,365,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
25,25,10-03-2020 20:25:09,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0355,23047,8269,753,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,10-03-2020 20:25:09,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0499,30697,10999,1003,,,375.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,27,10-03-2020 20:25:09,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0154,10011,3592,327,139.0,,,True,,,,,,5gr georgian indica (hight quality)
28,28,10-03-2020 20:25:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0216,12604,4522,412,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
29,29,10-03-2020 20:25:09,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,6,нет,Тбилиси,5 гр,0.0181,10803,3876,353,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
30,30,10-03-2020 20:25:09,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0445,26288,9432,858,365.0,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
