,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,12-05-2020 18:27:20,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0077,1890,170,5140,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
11,11,12-05-2020 18:27:20,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0092,2295,207,6242,85.0,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,12,12-05-2020 18:27:20,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,3,нет,Тбилиси,3 гр,0.0141,3510,317,9546,130.0,,,,,,,,,,3 G Hybrid Marijuana Big Buds
13,13,12-05-2020 18:27:20,Tbilisi,4659482266,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.013000000000000001,3213,290,8738,119.0,,,True,,,,,,,3g superskunk top class buds.
14,14,12-05-2020 18:27:20,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0115,2835,256,7710,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,15,12-05-2020 18:27:20,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0334,8640,779,23498,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
16,16,12-05-2020 18:27:20,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.0129,3213,290,8738,119.0,,,,True,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
17,17,12-05-2020 18:27:20,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0192,4725,426,12851,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,12-05-2020 18:27:20,Tbilisi,2f51af8159,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.0179,4455,402,12116,165.0,,,,,,,,,,Hybrid Somango Weed 5 g
19,19,12-05-2020 18:27:20,Tbilisi,7cab566931,GEORGIAN MARIJUANA 6-GRAM,True,1,нет,Тбилиси,6 гр,0.0099,2700,244,7343,100.0,,,,,,,,,,GEORGIAN MARIJUANA 6-GRAM
20,20,12-05-2020 18:27:20,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0216,5373,485,14613,199.0,,,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
21,21,12-05-2020 18:27:20,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0417,10800,974,29373,400.0,,,,,,,,,,gashish evro 10g
22,22,12-05-2020 18:27:20,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,2,нет,Тбилиси,20 гр,0.0412,10233,923,27831,379.0,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
23,23,12-05-2020 18:27:20,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.081,20979,1892,57057,777.0,,,,,,,,,,Gashish Evro 20gr
24,24,12-05-2020 18:27:20,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,1,нет,Тбилиси,50 гр,0.0922,22923,2067,62344,849.0,,True,,,,,,,,50 gr Marihuana shishki. INDIKA
25,25,12-05-2020 18:27:20,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1975,54000,4870,146865,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,12-05-2020 18:27:20,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,4,Тбилиси,1 гр,0.0174,4320,390,11749,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
27,27,12-05-2020 18:27:20,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.023,5670,511,15421,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
28,28,12-05-2020 18:27:20,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0405,9963,899,27097,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,29,12-05-2020 18:27:20,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0635,15633,1410,42517,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,12-05-2020 18:27:20,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0435,10800,974,29373,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,12-05-2020 18:27:20,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0597,14850,1339,40388,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,12-05-2020 18:27:20,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0255,6345,572,17257,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,33,12-05-2020 18:27:20,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0261,6480,584,17624,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,34,12-05-2020 18:27:54,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0257,6345,572,17257,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,12-05-2020 18:27:54,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0263,6480,584,17624,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,12-05-2020 18:27:54,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0252,6210,560,16890,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,12-05-2020 18:27:54,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0263,6480,584,17624,240.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
