,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,15-04-2020 20:35:16,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0167,8993,3355,299,122.0,,,True,,,,,,,,,3g superskunk top class buds. Indica
20,20,15-04-2020 20:35:16,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0144,7740,2888,258,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,15-04-2020 20:35:16,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,2,нет,Тбилиси,3 гр,0.0135,7371,2750,245,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
22,22,15-04-2020 20:35:16,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0089,4840,1797,161,,,,,60.0,,True,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
23,23,15-04-2020 20:35:16,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0272,14669,5473,488,199.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
24,24,15-04-2020 20:35:16,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0416,23589,8800,785,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
25,25,15-04-2020 20:35:16,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0402,22114,8250,736,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
26,26,15-04-2020 20:35:16,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,1,нет,Тбилиси,5 гр,0.0182,9878,3685,329,134.0,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
27,27,15-04-2020 20:35:16,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0239,12900,4813,429,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,15-04-2020 20:35:16,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0068,4054,1513,135,55.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,15-04-2020 20:35:16,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,5,нет,Тбилиси,10 гр,0.0283,15406,5748,513,209.0,,,,,,,,,,,,10 gr marijuana buds. -indica-
