,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Varketili,Vazisubani,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,25-05-2020 22:00:56,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.011000000000000001,7160,2705,240,100.0,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,25-05-2020 22:00:56,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,4,нет,Тбилиси,0.5 гр,0.0033,2148,812,72,30.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,25-05-2020 22:00:56,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.0032,2076,784,70,29.0,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,3,25-05-2020 22:00:56,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,3,нет,Тбилиси,1 гр,0.0057,3723,1407,125,52.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
4,4,25-05-2020 22:00:56,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0899,64437,24345,2159,900.0,,,,,,,,,,,,Metadon 1gr
5,5,25-05-2020 22:00:56,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0116,7518,2840,252,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
6,6,25-05-2020 22:00:56,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,5 гр,0.0131,8520,3219,285,119.0,,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
7,7,25-05-2020 22:00:56,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0479,32218,12173,1079,450.0,,,,,,,,,,,,Gashish Evro 10gr
8,8,25-05-2020 22:00:56,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,2,11,Тбилиси,20 гр,0.0438,28567,10793,957,399.0,,True,,,,,,,,,,20 gr georgian weed. Package on magnet
9,9,25-05-2020 22:00:56,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0819,55630,21018,1864,777.0,,,,,,,,,,,,Gashish Evro 20gr
10,10,25-05-2020 22:00:56,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.008,5728,2164,192,80.0,,,,,,,,,,,,GABAGAMA 50 SHTUK
11,11,25-05-2020 22:00:56,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1997,143192,54100,4797,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
12,12,25-05-2020 22:00:56,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0185,13245,5004,444,185.0,,,,,,,,,,,,GABAGAMA 150 shtuk
13,13,25-05-2020 22:00:56,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0108,7009,2651,236,,,,,90.0,,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
14,14,25-05-2020 22:00:56,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0358,25701,9719,864,,,,,330.0,,,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
15,15,25-05-2020 22:00:56,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0233,15035,5681,504,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
16,16,25-05-2020 22:00:56,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0409,26419,9981,885,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
17,17,25-05-2020 22:00:56,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0642,41454,15662,1389,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
18,18,25-05-2020 22:00:56,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0439,28638,10820,959,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
19,19,25-05-2020 22:00:56,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0154,10023,3787,336,140.0,,,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
20,20,25-05-2020 22:00:56,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0604,39378,14878,1319,550.0,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
21,21,25-05-2020 22:00:56,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0604,39378,14878,1319,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
