,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,28-06-2020 12:39:29,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0101,6824,2653,235,88,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,28-06-2020 12:39:29,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0156,10369,4035,358,,True,150,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,28-06-2020 12:39:29,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,4,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,True,30,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,28-06-2020 12:39:29,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,4,нет,Тбилиси,0.5 гр,0.0027,2005,780,69,,,29,,True,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
4,28-06-2020 12:39:29,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,21,нет,Тбилиси,1 гр,0.0055,3664,1426,126,,,53,,True,,,,,,,,1G ---> Big Devil (BTC - Sale)
5,28-06-2020 12:39:29,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0052,3456,1345,119,,True,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
6,28-06-2020 12:39:29,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,7,нет,Тбилиси,1 гр,0.0315,20669,8043,713,,True,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,28-06-2020 12:39:29,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.0063,4148,1614,143,,,60,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,28-06-2020 12:39:29,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,5,нет,Тбилиси,1 гр,0.0063,4148,1614,143,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,28-06-2020 12:39:29,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet,,1,нет,Тбилиси,1 гр,0.0318,21084,8205,727,,,305,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet
