,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
23,23,11-08-2020 18:38:17,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3950,1501,132,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
24,24,11-08-2020 18:38:17,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,3,нет,Тбилиси,1 гр,0.0049,4243,1612,142,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
25,25,11-08-2020 18:38:17,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
26,26,11-08-2020 18:38:17,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,10,нет,Тбилиси,1 гр,0.0036,3219,1223,108,44.0,,,,,,,,,,,,,TYson Budds 1G Skidka 5%
27,27,11-08-2020 18:38:17,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3658,1390,122,50.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
28,28,11-08-2020 18:38:17,Tbilisi,67187efef3,АКЦИЯ-1g hindu kish best buds BTC 11% sale,True,3,нет,Тбилиси,1 гр,0.003,2560,973,86,35.0,,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 11% sale
29,29,11-08-2020 18:38:17,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,5,нет,Тбилиси,1 гр,0.0031,2633,1001,88,36.0,,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
30,30,11-08-2020 18:38:17,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0028,2560,973,86,35.0,,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
31,31,11-08-2020 18:38:17,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,6,нет,Тбилиси,2 гр,0.0085,7242,2752,242,99.0,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
32,32,11-08-2020 18:38:17,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0102,8778,3336,294,120.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,33,11-08-2020 18:38:17,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7315,2780,245,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
34,34,11-08-2020 18:38:17,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0076,6584,2502,220,90.0,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
35,35,11-08-2020 18:38:17,Tbilisi,509c9eb778,Метадон VHQ 0.5гр,True,2,нет,Тбилиси,0.5 гр,0.0361,32480,12343,1087,444.0,,,,,,,,,,,,,Metadon VHQ 0.5gr
36,36,11-08-2020 18:39:11,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0075,6437,2446,215,88.0,,,,,,,,,,,,,2gr HYBRID buds
37,37,11-08-2020 18:39:11,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0079,6803,2585,228,93.0,True,,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
38,38,11-08-2020 18:39:11,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",,2,нет,Тбилиси,2 гр,0.0085,8047,3058,269,110.0,,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
39,39,11-08-2020 18:39:11,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,5,нет,Тбилиси,2 гр,0.0085,7242,2752,242,99.0,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
40,40,11-08-2020 18:39:11,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0085,7242,2752,242,99.0,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
41,41,11-08-2020 18:39:11,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0062,5852,2224,196,80.0,,,,,,,,,,,,,TYson Budds 2G Skidka 5%
42,42,11-08-2020 18:39:11,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,1,нет,Тбилиси,3 гр,0.0021,1756,667,59,24.0,True,,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
43,43,11-08-2020 18:39:11,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.006999999999999999,6584,2502,220,90.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
44,44,11-08-2020 18:39:11,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0145,12363,4698,414,169.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
45,45,11-08-2020 18:39:11,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0185,17557,6672,588,240.0,,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
46,46,11-08-2020 18:39:11,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0212,18288,6950,612,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,11-08-2020 18:39:11,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0229,19751,7506,661,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,11-08-2020 18:39:11,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0234,20117,7645,673,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,49,11-08-2020 18:39:11,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0204,17557,6672,588,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,11-08-2020 18:39:11,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0238,20483,7784,686,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
