,Unnamed: 0,time_stamp,region,sell_code,description,Gldani,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Didube,Центр,Батуми,desc_en
0,0,02-08-2020 04:28:34,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),True,1,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31.0,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
1,1,02-08-2020 04:28:34,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,5,нет,Тбилиси,0.5 гр,0.0024,2129,808,71,29.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
2,2,02-08-2020 04:28:34,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,5,нет,Тбилиси,0.5 гр,0.0028,2496,947,83,34.0,,True,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,3,02-08-2020 04:28:34,Tbilisi,16a8841259,Tangerine 0.5г,,6,нет,Тбилиси,0.5 гр,0.0027,2350,892,78,32.0,,True,,,,,,,,,Tangerine 0.5g
4,4,02-08-2020 04:28:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,12,нет,Тбилиси,0.5 гр,0.0025,2203,836,73,30.0,,True,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,5,02-08-2020 04:28:34,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,,9,нет,Тбилиси,0.5 гр,0.002,1836,697,61,25.0,,True,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
6,6,02-08-2020 04:28:34,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.005,4406,1672,146,60.0,,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,02-08-2020 04:28:34,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.005,4406,1672,146,60.0,,True,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,02-08-2020 04:28:34,Tbilisi,bb1791277e,1 gr super lemon haze пробник,,3,нет,Тбилиси,1 гр,0.0049,4332,1644,144,59.0,,True,,,,,,,,,1 gr super lemon haze probnik
9,9,02-08-2020 04:28:34,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0049,4332,1644,144,59.0,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
10,10,02-08-2020 04:28:34,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,7,нет,Тбилиси,1 гр,0.0049,4332,1644,144,59.0,True,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,02-08-2020 04:28:34,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),True,2,нет,Тбилиси,1 гр,0.0046,4038,1532,134,55.0,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
12,12,02-08-2020 04:28:34,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.005,4406,1672,146,60.0,True,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
13,13,02-08-2020 04:28:34,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,18,нет,Тбилиси,1 гр,0.0041,3598,1365,119,49.0,,True,,,,,,,,,1gr HYBRID o.g
14,14,02-08-2020 04:28:34,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,1 гр,0.0041,3598,1365,119,49.0,,True,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,02-08-2020 04:28:34,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,14,нет,Тбилиси,1 гр,0.0039,3378,1282,112,46.0,,True,,,,,,,,,Amsterdam weed sativa 1gr
16,16,02-08-2020 04:28:34,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,,20,нет,Тбилиси,1 гр,0.0034,3000,1380,99,,,True,,,,,,,,,Auto Amnesia Haze 1 gr
17,17,02-08-2020 04:28:34,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",,1,нет,Тбилиси,1 гр,0.0042,4038,1532,134,55.0,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
18,18,02-08-2020 04:28:34,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,3,нет,Тбилиси,1 гр,0.0031,3010,1142,100,41.0,,True,,,,,,,,,Hybrid Ana-sha 1G.
