,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,17-03-2020 22:18:16,Tbilisi,99accec7c7,HEROINE 0.25 VHQ tru heroine из авганистана!,True,9,нет,Тбилиси,0.25 гр,0.0293,14778,5840,473,200.0,,,,,,,,,,,HEROINE 0.25 VHQ tru heroine iz avganistana!
1,1,17-03-2020 22:18:16,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0145,6650,2628,213,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,17-03-2020 22:18:16,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,4,нет,Тбилиси,0.25 гр,0.0278,14039,5548,449,190.0,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,17-03-2020 22:18:16,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0369,16773,6628,537,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,4,17-03-2020 22:18:16,Tbilisi,99accec7c7,COCAINE VHQ!!! 0.5gr,True,5,нет,Тбилиси,0.5 гр,0.016,8054,3183,258,109.0,,,,,,,,,,,COCAINE VHQ!!! 0.5gr
5,5,17-03-2020 22:18:16,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,,4,нет,Тбилиси,0.5 гр,0.0153,7315,2891,234,99.0,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
6,6,17-03-2020 22:18:16,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),True,19,нет,Тбилиси,0.5 гр,0.0117,5911,2336,189,80.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,7,17-03-2020 22:18:16,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",,5,нет,Тбилиси,0.5 гр,0.0161,7315,2891,234,99.0,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,8,17-03-2020 22:18:16,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0169,8054,3183,258,109.0,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,9,17-03-2020 22:18:16,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0059,2956,1168,95,40.0,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
10,10,17-03-2020 22:18:16,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0081,3694,1460,118,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
11,11,17-03-2020 22:18:16,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,9,нет,Тбилиси,1 гр,0.0193,8867,3504,284,120.0,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
12,12,17-03-2020 22:18:16,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,2,нет,Тбилиси,1 гр,0.0145,6650,2628,213,90.0,True,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
13,13,17-03-2020 22:18:16,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,3,нет,Тбилиси,1 гр,0.0129,5911,2336,189,80.0,True,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
14,14,17-03-2020 22:18:16,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,True,1,нет,Тбилиси,1 гр,0.0177,8128,3212,260,110.0,,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
15,15,17-03-2020 22:18:16,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.0805,40639,16060,1300,550.0,True,,,,,,,,,,Metadon VHQ 1 24/7
16,16,17-03-2020 22:18:16,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,1,нет,Тбилиси,1 гр,0.0077,3547,1402,113,48.0,True,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
17,17,17-03-2020 22:18:16,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,,1,нет,Тбилиси,1 гр,0.0308,13965,5519,447,189.0,True,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
18,18,17-03-2020 22:18:16,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,True,5,нет,Тбилиси,1 гр,0.0293,14778,5840,473,200.0,,,,,,,,,,,cocaine 1gr SUPER COCA!!!
19,19,17-03-2020 22:18:16,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0301,13965,5519,447,189.0,True,,,,,,,,,,Kokain HQ 1g.
20,20,17-03-2020 22:18:16,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1318,66501,26280,2127,900.0,True,,,,,,,,,,Metadon 1gr
21,21,17-03-2020 22:18:16,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.0029,1478,584,47,20.0,True,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
22,22,17-03-2020 22:18:16,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,6,нет,Тбилиси,2 гр,0.0132,6650,2628,213,90.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
23,23,17-03-2020 22:18:16,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,3,нет,Тбилиси,2 гр,0.0106,4877,1927,156,66.0,,,,,,,,,,,2gr Indica dominant Buds
24,24,17-03-2020 22:18:16,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,,3,нет,Тбилиси,2 гр,0.0586,26600,10512,851,360.0,True,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,25,17-03-2020 22:18:16,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0566,26231,10366,839,355.0,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
26,26,17-03-2020 22:18:16,Tbilisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.0208,9532,3767,305,129.0,,,True,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
27,27,17-03-2020 22:18:16,Tbilisi,0dec0e1c48,3 gr Marijuana Buds -INDICA-,True,1,нет,Тбилиси,3 гр,0.0137,6281,2482,201,85.0,,,,,,,,,,,3 gr Marijuana Buds -INDICA-
28,28,17-03-2020 22:18:16,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.043,20576,8000,660,,True,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
29,29,17-03-2020 22:18:16,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0171,7758,3066,248,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
30,30,17-03-2020 22:18:16,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,3,нет,Тбилиси,4 гр,0.0088,4433,1752,142,60.0,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
31,31,17-03-2020 22:18:16,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0469,23645,9344,756,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
32,32,17-03-2020 22:18:16,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0478,22167,8760,709,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
33,33,17-03-2020 22:18:16,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0585,27984,10880,897,,True,,,340.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
34,34,17-03-2020 22:18:48,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0285,12931,5110,414,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,35,17-03-2020 22:18:48,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1268,58151,22980,1860,787.0,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
36,36,17-03-2020 22:18:48,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0095,4803,1898,154,65.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,17-03-2020 22:18:48,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0524,24014,9490,768,325.0,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
