,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Gldani,€,Батуми,Центр,Кутаиси,desc_en
24,03-05-2020 18:24:09,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119,,,,,,,True,,,,,3g superskunk top class buds.
25,03-05-2020 18:24:09,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0113,7636,2856,254,105,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
26,03-05-2020 18:24:09,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,,8,нет,Тбилиси,3 гр,0.0106,7273,2720,241,100,True,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
27,03-05-2020 18:24:09,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0039,2909,1088,97,40,,True,,,,,,,,,,Suboxene 4mg
28,03-05-2020 18:24:09,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0326,23272,8704,773,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,03-05-2020 18:24:09,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,1,нет,Тбилиси,5 гр,0.0188,12727,4760,423,175,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,03-05-2020 18:24:09,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 5g TOP VHQ,,3,нет,Тбилиси,5 гр,0.017,11636,4352,386,160,True,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
31,03-05-2020 18:24:09,Tbilisi,PTO3,MeDuZa777,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,5,нет,Тбилиси,10 гр,0.0404,27636,10336,917,380,True,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
32,03-05-2020 18:24:09,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0408,29091,10880,966,400,True,,,,,,,,,,,gashish evro 10g
33,03-05-2020 18:24:09,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,9,нет,Тбилиси,20 гр,0.043,29454,11016,978,405,True,True,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
34,03-05-2020 18:24:09,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0792,56508,21134,1876,777,True,,,,,,,,,,,Gashish Evro 20gr
35,03-05-2020 18:24:09,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1931,145453,54400,4829,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,03-05-2020 18:25:00,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",,нет,7,Тбилиси,1 гр,0.017,11636,4352,386,160,True,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
37,03-05-2020 18:25:00,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,2,Тбилиси,1 гр,0.0144,9818,3672,326,135,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
38,03-05-2020 18:25:00,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.0347,26109,9801,867,,True,,,,,,,330,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
39,03-05-2020 18:25:00,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 2 штуки!",,нет,44,Тбилиси,2 гр,0.0037,2545,952,85,35,True,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
40,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0225,15273,5712,507,210,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
41,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0396,26836,10037,891,369,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0622,42109,15749,1398,579,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,03-05-2020 18:25:00,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0425,29091,10880,966,400,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,03-05-2020 18:25:00,Tbilisi,A3I9,Joookerrr,Предзаказ н-бооом 4 штуки!!!,,нет,6,Тбилиси,4 гр,0.0064,4364,1632,145,60,True,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
45,03-05-2020 18:25:00,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0585,39999,14960,1328,550,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,03-05-2020 18:25:00,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0245,16727,6256,555,230,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,03-05-2020 18:25:00,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.0255,17454,6528,579,240,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,03-05-2020 18:25:00,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0255,17454,6528,579,240,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,03-05-2020 18:25:00,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0212,14473,5413,480,199,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,03-05-2020 18:25:00,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0212,15927,5957,529,219,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,03-05-2020 18:25:00,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0212,14473,5413,480,199,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,03-05-2020 18:25:00,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,2,Тбилиси,5 гр,0.017,11636,4352,386,160,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
53,03-05-2020 18:25:00,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2525,190000,87429,6306,,True,,,,,,,,,,,reagent 25i nbome. 5gr
54,03-05-2020 18:25:00,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2899,218179,81600,7243,3000,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.103,69745,26085,2315,959,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
57,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0204,13818,5168,459,190,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0525,35563,13301,1181,489,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,03-05-2020 18:25:00,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,03-05-2020 18:25:00,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Тбилиси,10 гр,0.0117,8000,2992,266,110,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
61,03-05-2020 18:25:00,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0957,65454,24480,2173,900,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,03-05-2020 18:25:00,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0425,29091,10880,966,400,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,03-05-2020 18:25:00,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0744,50908,19040,1690,700,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,03-05-2020 18:25:00,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.034,23272,8704,773,320,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,03-05-2020 18:25:00,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0106,7273,2720,241,100,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
66,03-05-2020 18:25:00,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.085,58181,21760,1931,800,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,03-05-2020 18:25:00,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,2,Тбилиси,10 гр,0.0308,21091,7888,700,290,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
68,03-05-2020 18:25:00,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2365,161816,60520,5372,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,03-05-2020 18:25:30,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,2,Тбилиси,10 гр,0.0308,21091,7888,700,290,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
70,03-05-2020 18:25:30,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2364,161816,60520,5372,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,03-05-2020 18:25:30,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1673,113380,42405,3764,1559,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,03-05-2020 18:25:30,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0396,26836,10037,891,369,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,03-05-2020 18:25:30,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5365,363632,136000,12072,5000,True,,,,,,,,,,,METADON - 20 G.
74,03-05-2020 18:25:30,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0643,43563,16293,1446,599,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
