,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Didube,Vake,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
24,04-04-2020 15:05:22,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,2,нет,Тбилиси,1 гр,0.0026,1555,553,52,20,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
25,04-04-2020 15:05:22,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,2,нет,Тбилиси,2 гр,0.0111,6141,2184,204,79,True,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
26,04-04-2020 15:05:22,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,2 гр,0.0097,5364,1908,178,69,,,True,,,,,,,2 gr Shishki “OG KUSH VHQ”
27,04-04-2020 15:05:22,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0099,5441,1936,181,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,04-04-2020 15:05:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.046,27984,9954,930,360,True,,,,,,,,,Cocaine Pure VHQ 2 g
29,04-04-2020 15:05:22,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,,4,нет,Тбилиси,2 гр,0.0105,5830,2074,194,75,True,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
30,04-04-2020 15:05:22,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,13,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
31,04-04-2020 15:05:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
32,04-04-2020 15:05:22,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0432,24874,8848,827,320,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,04-04-2020 15:05:22,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0417,23320,8295,775,300,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,04-04-2020 15:06:11,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,5,нет,Тбилиси,5 гр,0.0188,10416,3705,346,134,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
35,04-04-2020 15:06:11,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0248,13603,4839,452,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,04-04-2020 15:06:11,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.007,4275,1521,142,55,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,04-04-2020 15:06:11,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0102,6219,2212,207,80,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
38,04-04-2020 15:06:11,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0512,28372,10092,943,365,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
39,04-04-2020 15:06:11,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,2,3,Тбилиси,10 гр,0.0141,8574,2986,279,,True,True,,,100,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
40,04-04-2020 15:06:11,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0108,6607,2350,220,85,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
41,04-04-2020 15:06:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0538,31093,11060,1034,400,True,,,,,,,,,gashish evro 10g
42,04-04-2020 15:06:11,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1046,60398,21484,2008,777,True,,,,,,,,,Gashish Evro 20gr
43,04-04-2020 15:06:11,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.255,155465,55300,5169,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,04-04-2020 15:06:11,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0312,17148,5972,559,,True,,,,200,,,,,METADON - 0.25 G.
45,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0283,15547,5530,517,200,True,,,,,,,,,✨✨2gram. MDMA✨✨
46,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0523,28683,10203,954,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
47,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0836,45862,16314,1525,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,04-04-2020 15:06:11,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0561,31093,11060,1034,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,04-04-2020 15:06:11,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0224,12437,4424,414,160,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
50,04-04-2020 15:06:11,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0771,42753,15208,1422,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,04-04-2020 15:06:11,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0237,13137,4673,437,169,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
52,04-04-2020 15:06:11,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0238,13215,4701,439,170,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
53,04-04-2020 15:06:11,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0279,15469,5502,514,199,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,04-04-2020 15:06:11,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,8,Тбилиси,5 гр,0.0279,15469,5502,514,199,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,04-04-2020 15:06:11,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0279,17023,6055,566,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,04-04-2020 15:06:11,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0425,23320,8295,775,300,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
57,04-04-2020 15:06:11,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0279,15469,5502,514,199,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,04-04-2020 15:06:11,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,,нет,2,Тбилиси,5 гр,0.0422,25722,8958,838,,True,,,,300,,,,,MDMA 5 gr!!!
59,04-04-2020 15:06:11,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0255,15547,5530,517,200,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
60,04-04-2020 15:06:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3116,190000,87429,6378,,True,,,,,,,,,reagent 25i nbome. 5gr
61,04-04-2020 15:06:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3825,233198,82950,7754,3000,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1231,67550,24028,2246,869,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
63,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0269,14769,5254,491,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
64,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0693,38011,13521,1264,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
65,04-04-2020 15:06:11,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0268,14691,5226,488,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
66,04-04-2020 15:07:00,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1265,69959,24885,2326,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
67,04-04-2020 15:07:00,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0984,54413,19355,1809,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,04-04-2020 15:07:00,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.045,24874,8848,827,320,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,04-04-2020 15:07:00,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1124,62186,22120,2068,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,04-04-2020 15:07:00,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3127,172955,61521,5751,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
71,04-04-2020 15:07:00,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2057,112634,40065,3745,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,04-04-2020 15:07:00,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0524,28683,10203,954,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,04-04-2020 15:07:00,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0424,23242,8267,773,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
74,04-04-2020 15:07:00,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.0701,38789,13797,1290,499,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
75,04-04-2020 15:07:00,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.085,46562,16562,1548,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,04-04-2020 15:07:00,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1404,77655,27622,2582,999,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
77,04-04-2020 15:07:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1546,85506,30415,2843,1100,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
78,04-04-2020 15:07:00,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3373,186558,66360,6203,2400,True,,,,,,,,,100 gr marijuana buds
79,04-04-2020 15:07:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2811,155465,55300,5169,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,04-04-2020 15:07:00,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2839,155465,55300,5169,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
81,04-04-2020 15:07:00,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3513,194331,69125,6462,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,04-04-2020 15:07:00,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2129,116599,41475,3877,1500,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,04-04-2020 15:07:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6465,357570,127190,11889,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,04-04-2020 15:07:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.054,582994,207375,19385,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,04-04-2020 15:07:00,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1945,660726,235025,21969,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
86,04-04-2020 15:07:00,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0256,15547,5530,517,200,True,,,,,,,,,KURYER..500RUB.+BONUS
87,04-04-2020 15:07:00,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0211,11660,4148,388,150,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
88,04-04-2020 15:07:00,Tbilisi,H9FHF,OldStar,Требуется курьер,,1,нет,Тбилиси,1 гр,0.0164,10000,4602,336,,True,,,,,,,,,Trebuetsja kur'er
89,04-04-2020 15:07:00,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0281,15547,5530,517,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
90,04-04-2020 15:07:00,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0351,19433,6913,646,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
91,04-04-2020 15:07:00,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1272,1165988,414750,38769,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
