,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,27-03-2020 14:23:55,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,2,нет,Тбилиси,0.12 гр,0.013999999999999999,8659,3157,285,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,27-03-2020 14:23:55,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,6,нет,Тбилиси,0.25 гр,0.0264,14957,5453,492,190.0,True,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,2,27-03-2020 14:23:55,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,1,нет,Тбилиси,0.25 гр,0.0281,15744,5740,518,200.0,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,3,27-03-2020 14:23:55,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0519,29127,10619,958,370.0,,,,,,,,,,Metadon VHQ 0.5 24/7
4,4,27-03-2020 14:23:55,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0154,8581,3128,282,109.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,27-03-2020 14:23:55,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.006999999999999999,3936,1435,130,50.0,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,27-03-2020 14:23:55,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0063,3543,1292,117,45.0,,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,7,27-03-2020 14:23:55,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,9,нет,Тбилиси,1 гр,0.006999999999999999,3936,1435,130,50.0,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
8,8,27-03-2020 14:23:55,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,3,нет,Тбилиси,1 гр,0.0052,3228,1177,106,41.0,,,,,,,,,,Hybrid Ana-sha 1G.
9,9,27-03-2020 14:23:55,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,5,нет,Тбилиси,1 гр,0.0076,4251,1550,140,54.0,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
10,10,27-03-2020 14:23:55,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0276,16138,5884,531,205.0,,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,27-03-2020 14:23:55,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,11,нет,Тбилиси,1 гр,0.021,11808,4305,389,150.0,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
12,12,27-03-2020 14:23:55,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0263,14879,5424,490,189.0,,,,,,,,,,Kokain HQ 1g.
13,13,27-03-2020 14:23:55,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1148,70850,25830,2331,900.0,,,,,,,,,,Metadon 1gr
