,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Saburtalo,Zahesi,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,25-06-2020 15:23:06,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",True,5,нет,Тбилиси,0.4 гр,0.0123,8336,3217,285,120,,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,25-06-2020 15:23:06,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0165,11045,4263,377,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,25-06-2020 15:23:06,Tbilisi,9Y6T,WeedShop,Ayahuasca Purple 100% Indica 0.5г,True,5,нет,Тбилиси,0.5 гр,0.0032,2153,831,74,31,,,,,,,,,,,Ayahuasca Purple 100% Indica 0.5g
3,25-06-2020 15:23:06,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0154,10420,4022,356,150,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,25-06-2020 15:23:06,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,6,нет,Тбилиси,0.5 гр,0.0154,10420,4022,356,150,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,25-06-2020 15:23:06,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,6,нет,Тбилиси,0.5 гр,0.0031,2084,804,71,30,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,25-06-2020 15:23:06,Tbilisi,UZRVH,ZEBRAWEED,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.014,10420,4022,356,150,,,,,,,,,,,KETAMIN WHQ 0.5g
7,25-06-2020 15:23:06,Tbilisi,5LZ,ExtraShop,Кокаин HQ 0.5 g.,True,1,нет,Тбилиси,0.5 гр,0.013,9656,3727,330,139,,,,,,,,,,,Kokain HQ 0.5 g.
8,25-06-2020 15:23:06,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,6,нет,Тбилиси,0.5 гр,0.003,2015,777,69,29,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,25-06-2020 15:23:06,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0062,4168,1609,142,60,,,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
10,25-06-2020 15:23:06,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.0061,4099,1582,140,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
11,25-06-2020 15:23:06,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0062,4168,1609,142,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
12,25-06-2020 15:23:06,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,1 гр,0.0062,4168,1609,142,60,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
