,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
0,0,24-04-2020 14:55:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0066,4132,1504,136,55.0,,,,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
1,1,24-04-2020 14:55:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1072,67616,24615,2222,900.0,,,,,,,,,,,,,,,,,Metadon 1gr
2,2,24-04-2020 14:55:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0119,7513,2735,247,100.0,,,,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
3,3,24-04-2020 14:55:17,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0105,5935,2161,195,79.0,,,,,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
4,4,24-04-2020 14:55:17,Tbilisi,54915c4374,Марки Н-ВоооооМ!!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0047,2705,985,89,36.0,True,,,,,,,,,,,,,,,,Marki N-VoooooM!!!! 2 shtuki
5,5,24-04-2020 14:55:17,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0111,6386,2325,210,85.0,,True,,,,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
6,6,24-04-2020 14:55:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0139,7889,2872,259,105.0,,,,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
7,7,24-04-2020 14:55:17,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0157,8940,3255,294,119.0,,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
8,8,24-04-2020 14:55:17,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0157,8940,3255,294,119.0,,,,,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
9,9,24-04-2020 14:55:17,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,2,нет,Тбилиси,4 гр,0.0072,4132,1504,136,55.0,,,,,,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
10,10,24-04-2020 14:55:17,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0402,24041,8752,790,320.0,,,,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
11,11,24-04-2020 14:55:17,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0389,22539,8205,741,300.0,,,,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,24-04-2020 14:55:17,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0232,13148,4786,432,175.0,,,,,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
13,13,24-04-2020 14:55:17,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0393,22539,8205,741,300.0,,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
14,14,24-04-2020 14:55:17,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0503,30052,10940,987,400.0,,,,,,,,,,,,,,,,,gashish evro 10g
