,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Кутаиси,desc_en
0,0,29-04-2020 16:22:46,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,1,нет,Тбилиси,0.12 гр,0.0121,8106,2992,271,110.0,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,29-04-2020 16:22:46,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0047,2874,1061,96,39.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
2,2,29-04-2020 16:22:46,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,10,нет,Тбилиси,1 гр,0.0045,3021,1115,101,41.0,,,,,,,,Hybrid Ana-sha 1G.
3,3,29-04-2020 16:22:46,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0988,66320,24480,2217,900.0,,,,,,,,Metadon 1gr
4,4,29-04-2020 16:22:46,Tbilisi,2f51af8159,Weed Hybrid Somango 2 G,,1,нет,Тбилиси,2 гр,0.0068,4127,1523,138,56.0,True,,,,,,,Weed Hybrid Somango 2 G
5,5,29-04-2020 16:22:46,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,2 гр,0.0103,6264,2312,209,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds HQ ❤
6,6,29-04-2020 16:22:46,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0128,7737,2856,259,105.0,,,,,,,,3x Extasy Duracell 223mg MDMA
7,7,29-04-2020 16:22:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0121,7369,2720,246,100.0,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
8,8,29-04-2020 16:22:46,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.013999999999999999,8474,3128,283,115.0,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
9,9,29-04-2020 16:22:46,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,4 гр,0.0169,10317,3808,345,140.0,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds HQ ❤
10,10,29-04-2020 16:22:46,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0359,22107,8160,739,300.0,,,,,,,,5 Grm Mdma Pure Quality A +++
11,11,29-04-2020 16:22:46,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0213,12896,4760,431,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,29-04-2020 16:22:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,2,нет,Тбилиси,5 гр,0.0193,11790,4352,394,160.0,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
13,13,29-04-2020 16:22:46,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,10,нет,Тбилиси,10 гр,0.0252,15401,5685,515,209.0,True,True,True,,,,,10 gr marijuana buds. -indica-
14,14,29-04-2020 16:22:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0362,22107,8160,739,300.0,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
15,15,29-04-2020 16:22:46,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0463,29476,10880,985,400.0,,,,,,,,gashish evro 10g
