,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,27-05-2020 10:37:03,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.011000000000000001,7114,2711,240,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,27-05-2020 10:37:03,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,5,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30.0,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,2,27-05-2020 10:37:03,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.006,3913,1491,132,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,27-05-2020 10:37:03,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,24,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29.0,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,27-05-2020 10:37:03,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30.0,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,27-05-2020 10:37:03,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,27-05-2020 10:37:03,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
7,7,27-05-2020 10:37:03,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,2,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,8,27-05-2020 10:37:03,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),True,2,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
9,9,27-05-2020 10:37:03,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0897,64027,24399,2162,900.0,,,,,,,,,,,Metadon 1gr
10,10,27-05-2020 10:37:03,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0121,7754,2955,262,109.0,True,,,,,,,,,,✨ 1g. MDMA ✨
11,11,27-05-2020 10:37:03,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0097,6260,2386,211,88.0,,,True,,,,,,,,2gr HYBRID buds
12,12,27-05-2020 10:37:03,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0116,7470,2847,252,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
