,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Gldani,Дигоми,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
0,0,14-08-2020 19:51:02,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,8,нет,Тбилиси,0.12 гр,0.0085,8054,3036,271,110.0,,,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,14-08-2020 19:51:02,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,11,нет,Тбилиси,0.3 гр,0.0065,5857,2208,197,80.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
2,2,14-08-2020 19:51:02,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,1,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
3,3,14-08-2020 19:51:02,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
4,4,14-08-2020 19:51:02,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
5,5,14-08-2020 19:51:02,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
6,6,14-08-2020 19:51:02,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0028,2416,911,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
7,7,14-08-2020 19:51:02,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,0.5 гр,0.0025,2123,800,71,29.0,True,,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,8,14-08-2020 19:51:02,Tbilisi,e56bb6ca93,0.5g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,3,нет,Тбилиси,0.5 гр,0.0022,1904,718,64,26.0,,,,,,,,,,,,,0.5g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
9,9,14-08-2020 19:51:02,Tbilisi,0dec0e1c48,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,5,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28.0,,,,,,,,,,,,,0.5g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
