,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Saburtalo,Zahesi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,25-06-2020 19:58:22,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,10,нет,Тбилиси,0.25 гр,0.0124,8508,3286,292,109.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,25-06-2020 19:58:22,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,4,нет,Тбилиси,0.4 гр,0.0124,8336,3217,285,,True,120.0,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,25-06-2020 19:58:22,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,11,нет,Тбилиси,0.5 гр,0.0166,11045,4263,377,,True,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,25-06-2020 19:58:22,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0155,10420,4022,356,,True,150.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,25-06-2020 19:58:22,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,6,нет,Тбилиси,0.5 гр,0.0155,10420,4022,356,,True,150.0,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,25-06-2020 19:58:22,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0031,2084,804,71,,True,30.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,6,25-06-2020 19:58:22,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0141,10420,4022,356,,True,150.0,,,,,,,,,KETAMIN WHQ 0.5g
7,7,25-06-2020 19:58:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,3,нет,Тбилиси,0.5 гр,0.003,2015,777,69,,,29.0,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,8,25-06-2020 19:58:22,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,9,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,,60.0,,,True,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
9,9,25-06-2020 19:58:22,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,10,25-06-2020 19:58:22,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,True,60.0,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,11,25-06-2020 19:58:22,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.0061,4099,1582,140,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,25-06-2020 19:58:22,Tbilisi,64284550d9,1G ---> Top BUDS (BTC - Sale),,25,нет,Тбилиси,1 гр,0.0061,4099,1582,140,,,59.0,,,True,,,,,,1G ---> Top BUDS (BTC - Sale)
13,13,25-06-2020 19:58:22,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,2,нет,Тбилиси,1 гр,0.0312,20770,8016,709,,True,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
