,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,06-03-2020 18:10:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,9,нет,Тбилиси,0.5 гр,0.0096,6684,2482,221,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,06-03-2020 18:10:09,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0053,3376,1254,112,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
2,2,06-03-2020 18:10:09,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0047,2971,1103,98,44.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
3,3,06-03-2020 18:10:09,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,31,нет,Тбилиси,1 гр,0.0041,2633,978,87,39.0,True,,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,4,06-03-2020 18:10:09,Tbilisi,da96c34455,ALFA PVP 1g,True,3,нет,Тбилиси,1 гр,0.016,10128,3761,335,150.0,,,,,,,,,,,ALFA PVP 1g
5,5,06-03-2020 18:10:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,9,нет,Тбилиси,1 гр,0.0184,12828,4763,425,190.0,,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,06-03-2020 18:10:09,Tbilisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5% (ПОДЪЕЗД!!!),,2,нет,Тбилиси,1 гр,0.0197,12491,4638,414,185.0,,True,,,,,,,,,Columbia Cocaine VHQ 1g BTC SALE 5% (POD'EZD!!!)
7,7,06-03-2020 18:10:09,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0053,3376,1254,112,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
8,8,06-03-2020 18:10:09,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,16,нет,Тбилиси,1 гр,0.0136,9452,3510,313,140.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
9,9,06-03-2020 18:10:09,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0189,12491,4638,414,185.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
10,10,06-03-2020 18:10:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0191,12086,4488,400,179.0,,,True,,,,,,,,Kokain KOLUMBIA 1g
11,11,06-03-2020 18:10:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0873,60766,22563,2012,900.0,,,,,,,,,,,Metadon 1gr
12,12,06-03-2020 18:10:09,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,2 гр,0.0096,6077,2256,201,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
13,13,06-03-2020 18:10:09,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0034,2363,877,78,35.0,True,,True,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
14,14,06-03-2020 18:10:09,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0287,18961,7083,623,,,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,15,06-03-2020 18:10:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,11,нет,Тбилиси,3 гр,0.0113,7089,2632,235,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
