,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,23-06-2020 00:49:20,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0121,8483,3281,291,109.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,23-06-2020 00:49:20,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,19,нет,Тбилиси,0.5 гр,0.0162,11048,4263,378,,True,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,23-06-2020 00:49:20,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,8,нет,Тбилиси,0.5 гр,0.0177,12160,4692,416,,True,175.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,23-06-2020 00:49:20,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,6,нет,Тбилиси,0.5 гр,0.0162,11117,4290,380,,True,160.0,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,23-06-2020 00:49:20,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,10,нет,Тбилиси,0.5 гр,0.003,2085,804,71,,True,30.0,,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,23-06-2020 00:49:20,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0138,10423,4022,356,,True,150.0,,,,,,,,,,KETAMIN WHQ 0.5g
6,6,23-06-2020 00:49:20,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0133,9033,3485,309,,,130.0,,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,23-06-2020 00:49:20,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0059,4030,1555,138,,,58.0,,,True,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
8,8,23-06-2020 00:49:20,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,,2,нет,Тбилиси,1 гр,0.0307,21123,8150,722,,,304.0,,,,True,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
9,9,23-06-2020 00:49:20,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0244,16607,6408,568,,,239.0,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
10,10,23-06-2020 00:49:20,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,7,нет,Тбилиси,2 гр,0.011000000000000001,7574,2922,259,,,109.0,,,True,,,,,,,2 G Hybrid Marijuana Buds
11,11,23-06-2020 00:49:20,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0111,7643,2949,261,,True,110.0,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
12,12,23-06-2020 00:49:20,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,1,нет,Тбилиси,2 гр,0.0089,6115,2359,209,,,88.0,,,True,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
13,13,23-06-2020 00:49:20,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0086,5906,2279,202,,,85.0,,True,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
14,14,23-06-2020 00:49:20,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,38,нет,Тбилиси,3 гр,0.0088,6045,2332,207,,True,87.0,,,,,True,,,,,3 gr georgian weed. Package on magnet
15,15,23-06-2020 00:49:20,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,2,нет,Тбилиси,3 гр,0.006999999999999999,4794,1850,164,,True,69.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
16,16,23-06-2020 00:49:20,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0141,9728,3753,333,,,140.0,,True,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
17,17,23-06-2020 00:49:20,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.013000000000000001,8963,3458,306,,True,129.0,,,,,,,,,,5 gr georgian weed. Package on magnet
18,18,23-06-2020 00:49:20,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.022000000000000002,16676,6434,570,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
19,19,23-06-2020 00:49:20,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0178,12160,4692,416,,True,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
20,20,23-06-2020 00:49:20,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,4,нет,Тбилиси,5 гр,0.1157,81296,31368,2780,,True,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
21,21,23-06-2020 00:49:20,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.005,3822,1475,131,,True,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,22,23-06-2020 00:49:20,Tbilisi,54915c4374,марки н-боом 5шт.,,11,10,Тбилиси,5 гр,0.0066,4516,1743,154,,True,65.0,,True,,,,,,,,marki n-boom 5sht.
23,23,23-06-2020 00:49:20,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,10,нет,Тбилиси,10 гр,0.0241,16607,6408,568,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
24,24,23-06-2020 00:49:20,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,19,нет,Тбилиси,10 гр,0.0199,13549,5228,463,,True,195.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,23-06-2020 00:49:20,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0201,13827,5335,473,,True,199.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
