,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-06-2020 13:29:16,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,True,1,нет,Тбилиси,1 гр,0.0055,3834,1480,132,55,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
1,02-06-2020 13:29:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0817,62740,24210,2161,900,,,,,,,,,,Metadon 1gr
2,02-06-2020 13:29:16,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0241,16661,6429,574,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
3,02-06-2020 13:29:16,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,11,нет,Тбилиси,2 гр,0.0088,6135,2367,211,88,,,,,,,,,,2gr HYBRID buds
4,02-06-2020 13:29:16,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.012,8296,3201,286,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,02-06-2020 13:29:16,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,3 гр,0.0087,6065,2340,209,87,,,,,,,,,,3 gr georgian weed. Package on magnet
6,02-06-2020 13:29:16,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0177,13594,5246,468,195,,,,,,,,,,4g.marihuana shishki white widow
7,02-06-2020 13:29:16,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0297,20913,8070,720,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
8,02-06-2020 13:29:16,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,8,нет,Тбилиси,5 гр,0.0139,9690,3739,334,139,,,,,,,,,,5 gr georgian weed. Package on magnet
9,02-06-2020 13:29:16,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0218,16731,6456,576,240,,,,,,,,,,5g. marihuana shishki Critical
10,02-06-2020 13:29:16,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0176,12200,4708,420,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,02-06-2020 13:29:16,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0233,16591,6402,571,238,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
12,02-06-2020 13:29:16,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,13,нет,Тбилиси,10 гр,0.01,6971,2690,240,100,,True,,,,,,,,10 gr marihuana list'ja top gibrid
13,02-06-2020 13:29:16,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0033,2510,968,86,36,,,,,,,,,,GABAGAMA 20 SHTUK
14,02-06-2020 13:29:16,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0073,5577,2152,192,80,,,,,,,,,,GABAGAMA 50 SHTUK
15,02-06-2020 13:29:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1815,139423,53800,4802,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,02-06-2020 13:29:16,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,10,Тбилиси,0.25 гр,0.004,2788,1076,96,40,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
17,02-06-2020 13:29:16,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0073,5228,2018,180,75,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
18,02-06-2020 13:29:16,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.015,10457,4035,360,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
19,02-06-2020 13:29:16,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0359,25096,9684,864,360,,,,,,,,,,Gerojn (sirets) 1 gr
20,02-06-2020 13:29:16,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,нет,1,Тбилиси,1.5 гр,0.0708,50464,19468,1738,,,,650,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
21,02-06-2020 13:29:16,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0212,14639,5649,504,210,,,,,,,,,,✨✨2gram. MDMA✨✨
22,02-06-2020 13:29:16,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0372,25724,9926,886,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,02-06-2020 13:29:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0584,40363,15575,1390,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,02-06-2020 13:29:16,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0399,27885,10760,960,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
