,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,22-05-2020 16:20:30,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.017,11429,4287,379,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,22-05-2020 16:20:30,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,6,нет,Тбилиси,0.5 гр,0.0058,3953,1483,131,55.0,True,,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,22-05-2020 16:20:30,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,20,нет,Тбилиси,0.5 гр,0.0031,2085,782,69,29.0,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,22-05-2020 16:20:30,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0139,9344,3505,310,130.0,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,22-05-2020 16:20:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0249,16892,6336,561,235.0,,,,,,,,,,,Cocaine Pure VHQ 1g
5,5,22-05-2020 16:20:30,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.005,3738,1402,124,52.0,,,,,,,,,,,Lsd 25 buds 1 GR
6,6,22-05-2020 16:20:30,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0866,64692,24264,2147,900.0,,,,,,,,,,,Metadon 1gr
7,7,22-05-2020 16:20:30,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0256,17179,6443,570,239.0,True,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,22-05-2020 16:20:30,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0117,7835,2939,260,109.0,,True,,,,,,,,,✨ 1g. MDMA ✨
9,9,22-05-2020 16:20:30,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0106,7188,2696,239,100.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
10,10,22-05-2020 16:20:30,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0111,7547,2831,250,105.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,22-05-2020 16:20:30,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,2 гр,0.0111,7547,2831,250,105.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,22-05-2020 16:20:30,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0075,5032,1887,167,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,22-05-2020 16:20:30,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0094,6397,2399,212,89.0,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,14,22-05-2020 16:20:30,Tbilisi,917bf145e7,LSD 25 buds 2 GR,True,2,нет,Тбилиси,2 гр,0.0091,6829,2561,227,95.0,,,,,,,,,,,LSD 25 buds 2 GR
15,15,22-05-2020 16:20:30,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,4,нет,Тбилиси,2 гр,0.0094,6397,2399,212,89.0,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
16,16,22-05-2020 16:20:30,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009000000000000001,6110,2292,203,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
17,17,22-05-2020 16:20:30,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0127,8554,3208,284,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,22-05-2020 16:20:30,Tbilisi,4659482266,3g superskunk top class buds.,,6,нет,Тбилиси,3 гр,0.0134,8985,3370,298,125.0,,,,True,,,,,,,3g superskunk top class buds.
