,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
12,08-07-2020 14:23:37,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,,1,нет,Тбилиси,1 гр,0.0319,21579,8133,731,,True,299,,,,,,,,,Cocaine Pure VHQ 1g
13,08-07-2020 14:23:37,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet,True,,3,нет,Тбилиси,1 гр,0.0325,22012,8296,745,,True,305,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet
14,08-07-2020 14:23:37,Tbilisi,QVK5,Galiak,The Best Weed In Your Life 1G 100%шишки! LIMITED,,True,2,нет,Тбилиси,1 гр,0.0069,4691,1768,159,,,65,,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
15,08-07-2020 14:23:37,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds,,,3,нет,Тбилиси,1 гр,0.0044,3248,1224,110,,True,45,,,,,,,,,AKTsIJa! 1g hindu kish best buds
16,08-07-2020 14:23:37,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,,,4,нет,Тбилиси,1 гр,0.0223,16600,6256,562,,True,230,,,,,,,,,Sirets Iran 1gr
17,08-07-2020 14:23:37,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,,4,нет,Тбилиси,2 гр,0.0106,7145,2693,242,,,99,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
18,08-07-2020 14:23:37,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,,1,нет,Тбилиси,2 гр,0.0116,7867,2965,266,,,109,,,,,,,,,2 G Hybrid Marijuana Buds
19,08-07-2020 14:23:37,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,,1,нет,Тбилиси,2 гр,0.0128,8661,3264,293,,True,120,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,08-07-2020 14:23:37,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,,1,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,,True,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,08-07-2020 14:23:37,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,,True,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
22,08-07-2020 14:23:37,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,,1,нет,Тбилиси,2 гр,0.0107,7939,2992,269,,,110,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
23,08-07-2020 14:23:37,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 2г.,True,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
24,08-07-2020 14:23:37,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,,1,нет,Тбилиси,3 гр,0.0145,10826,4080,367,,True,150,,,,,,,,,3g. marihuana shishki Critical
25,08-07-2020 14:23:37,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,14,нет,Тбилиси,3 гр,0.0059,3969,1496,134,,True,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,08-07-2020 14:23:37,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,,2,нет,Тбилиси,5 гр,0.0233,17321,6528,587,,True,240,,,,,,,,,5g. marihuana shishki Critical
27,08-07-2020 14:23:37,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,23,нет,Тбилиси,5 гр,0.0074,4980,1877,169,,True,69,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
