,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,08-07-2020 00:50:48,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,7,нет,Тбилиси,0.25 гр,0.0117,8065,3029,272,99,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,08-07-2020 00:50:48,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,,1,нет,Тбилиси,0.25 гр,0.0109,7332,2754,247,90,True,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,08-07-2020 00:50:48,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,,,25,нет,Тбилиси,0.5 гр,0.0034,2310,870,78,,True,32,,,,,,,,,0.5g Ak - 47
3,08-07-2020 00:50:48,Tbilisi,9Y6T,WeedShop,0.5г Jamaican,,,5,нет,Тбилиси,0.5 гр,0.0033,2237,843,75,,True,31,,,,,,,,,0.5g Jamaican
4,08-07-2020 00:50:48,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,,1,нет,Тбилиси,0.5 гр,0.0034,2310,870,78,,,32,True,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,08-07-2020 00:50:48,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,,1,нет,Тбилиси,1 гр,0.0064,4330,1632,146,,,60,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,08-07-2020 00:50:48,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,,1,нет,Тбилиси,1 гр,0.0063,4258,1605,144,,,59,,,,,,,,,1 G Hybrid Marijuana Buds
7,08-07-2020 00:50:48,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,,2,нет,Тбилиси,1 гр,0.0064,4330,1632,146,,,60,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,08-07-2020 00:50:48,Tbilisi,QVK5,Galiak,The Best Weed In Your Life 1G 100%шишки! LIMITED,,True,3,нет,Тбилиси,1 гр,0.0069,4691,1768,158,,,65,,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
9,08-07-2020 00:50:48,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 1G A+++,,,1,нет,Тбилиси,1 гр,0.0123,8300,3128,280,,True,115,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
10,08-07-2020 00:50:48,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,True,,1,нет,Тбилиси,1 гр,0.0019,1299,490,44,,,18,,,,,,,,,Marki n-boooom!!! 1 sht.
11,08-07-2020 00:50:48,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,,4,нет,Тбилиси,2 гр,0.0106,7145,2693,241,,,99,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,08-07-2020 00:50:48,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,,2,нет,Тбилиси,2 гр,0.0116,7867,2965,265,,,109,,,,,,,,,2 G Hybrid Marijuana Buds
13,08-07-2020 00:50:48,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,,1,нет,Тбилиси,2 гр,0.0128,8661,3264,292,,True,120,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,08-07-2020 00:50:48,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,,1,нет,Тбилиси,2 гр,0.0107,7217,2720,243,,,100,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
15,08-07-2020 00:50:48,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,243,,,100,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
16,08-07-2020 00:50:48,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,,1,нет,Тбилиси,2 гр,0.0107,7939,2992,268,,,110,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
17,08-07-2020 00:50:48,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 2г.,True,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,243,,,100,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
18,08-07-2020 00:50:48,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,13,нет,Тбилиси,3 гр,0.0059,3969,1496,134,,True,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,08-07-2020 00:50:48,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,24,нет,Тбилиси,5 гр,0.0074,4980,1877,168,,True,69,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,08-07-2020 00:50:48,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,True,2,нет,Тбилиси,5 гр,0.0233,17321,6528,584,,,240,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
21,08-07-2020 00:50:48,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,4,нет,Тбилиси,10 гр,0.0139,9310,3509,314,,True,129,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,08-07-2020 00:50:48,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,,2,нет,Тбилиси,10 гр,0.0466,32477,12240,1095,,True,450,,,,,,,,,Gashish Evro 10gr
23,08-07-2020 00:50:48,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,True,,2,нет,Тбилиси,10 гр,0.0107,7217,2720,243,,,100,,,,,,,,,Marki n-boom 10 sht.
24,08-07-2020 00:50:48,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,,1,нет,Тбилиси,12 гр,0.0486,36086,13600,1217,,True,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
