,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,02-05-2020 19:15:50,Tbilisi,2f51af8159,Hashish Malana Charas 0.5 g,True,3,нет,Тбилиси,0.5 гр,0.0055,3782,1414,126,52.0,,,,,,,,,,,Hashish Malana Charas 0.5 g
1,1,02-05-2020 19:15:50,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,2,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29.0,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,02-05-2020 19:15:50,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.004,2982,1115,99,41.0,True,,,,,,,,,,Hybrid Ana-sha 1G.
3,3,02-05-2020 19:15:50,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0243,16654,6229,553,229.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
4,4,02-05-2020 19:15:50,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0868,65454,24480,2173,900.0,True,,,,,,,,,,Metadon 1gr
5,5,02-05-2020 19:15:50,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0256,17382,6501,577,239.0,,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,02-05-2020 19:15:50,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0106,7273,2720,241,100.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,02-05-2020 19:15:50,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,6182,2312,205,85.0,,,,True,,,,,,,2g super Skunk top class buds.
8,8,02-05-2020 19:15:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0499,34181,12784,1135,470.0,True,,,,,,,,,,Cocaine Pure VHQ 2 g
9,9,02-05-2020 19:15:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0504,34909,13056,1159,480.0,True,,,,,,,,,,VHQ BEST Cocaine 2g.
10,10,02-05-2020 19:15:50,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,2 гр,0.009000000000000001,6182,2312,205,85.0,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,11,02-05-2020 19:15:50,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0127,8654,3237,287,119.0,,,,True,,,,,,,3g superskunk top class buds.
12,12,02-05-2020 19:15:50,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0112,7636,2856,254,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,13,02-05-2020 19:15:50,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,,1,нет,Тбилиси,3 гр,0.0106,7273,2720,241,100.0,True,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
14,14,02-05-2020 19:15:50,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.005,3770,1735,125,,,,True,,,,,,,,Suboxene 4mg
15,15,02-05-2020 19:15:50,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0326,23272,8704,773,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
16,16,02-05-2020 19:15:50,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0315,21818,8160,724,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
17,17,02-05-2020 19:15:50,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0187,12727,4760,423,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,02-05-2020 19:15:50,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,,8,нет,Тбилиси,5 гр,0.017,11636,4352,386,160.0,True,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
19,19,02-05-2020 19:15:50,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0403,27636,10336,917,380.0,,,,,True,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
20,20,02-05-2020 19:15:50,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,6,нет,Тбилиси,10 гр,0.0222,15200,5685,505,209.0,True,,True,,,,,,,,10 gr marijuana buds. -indica-
21,21,02-05-2020 19:15:50,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,,2,нет,Тбилиси,10 гр,0.0318,21818,8160,724,300.0,True,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
22,22,02-05-2020 19:15:50,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0407,29091,10880,966,400.0,True,,,,,,,,,,gashish evro 10g
23,23,02-05-2020 19:15:50,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.043,29454,11016,978,405.0,True,,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
24,24,02-05-2020 19:15:50,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0791,56508,21134,1876,777.0,True,,,,,,,,,,Gashish Evro 20gr
25,25,02-05-2020 19:15:50,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1929,145453,54400,4829,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,02-05-2020 19:15:50,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,нет,14,Тбилиси,0.2 гр,0.0041,2836,1061,94,39.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
27,27,02-05-2020 19:15:50,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,нет,7,Тбилиси,1 гр,0.017,11636,4352,386,160.0,True,,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,28,02-05-2020 19:15:50,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,2,Тбилиси,1 гр,0.0143,9818,3672,326,135.0,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
29,29,02-05-2020 19:15:50,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.0346,26109,9801,867,,True,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
30,30,02-05-2020 19:15:50,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",,нет,45,Тбилиси,2 гр,0.0037,2545,952,85,35.0,True,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
31,31,02-05-2020 19:15:50,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0225,15273,5712,507,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
32,32,02-05-2020 19:15:50,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0395,26836,10037,891,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,02-05-2020 19:15:50,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.062,42109,15749,1398,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,02-05-2020 19:16:29,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,,нет,7,Тбилиси,4 гр,0.0064,4364,1632,145,60.0,True,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
35,35,02-05-2020 19:16:29,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,4,Тбилиси,4 гр,0.0148,10182,3808,338,140.0,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
36,36,02-05-2020 19:16:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0583,39999,14960,1328,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,02-05-2020 19:16:29,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.018000000000000002,12363,4624,410,170.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,02-05-2020 19:16:29,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,,нет,3,Тбилиси,5 гр,0.0231,15854,5930,526,218.0,True,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
39,39,02-05-2020 19:16:29,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0211,14473,5413,480,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,02-05-2020 19:16:29,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0211,14473,5413,480,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,02-05-2020 19:16:29,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15927,5957,529,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,02-05-2020 19:16:29,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0211,14473,5413,480,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,02-05-2020 19:16:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,2,Тбилиси,5 гр,0.017,11636,4352,386,160.0,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,44,02-05-2020 19:16:29,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2518,190000,87429,6306,,True,,,,,,,,,,reagent 25i nbome. 5gr
45,45,02-05-2020 19:16:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2891,218179,81600,7243,3000.0,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,02-05-2020 19:16:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1027,69745,26085,2315,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,02-05-2020 19:16:29,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,4,Тбилиси,5 гр,0.0202,13745,5141,456,189.0,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
48,48,02-05-2020 19:16:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0203,13818,5168,459,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,02-05-2020 19:16:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0524,35563,13301,1181,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,02-05-2020 19:16:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0202,13745,5141,456,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,51,02-05-2020 19:16:29,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,10,Тбилиси,10 гр,0.0117,8000,2992,266,110.0,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
52,52,02-05-2020 19:16:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0954,65454,24480,2173,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,02-05-2020 19:16:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0742,50908,19040,1690,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,02-05-2020 19:16:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0339,23272,8704,773,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,02-05-2020 19:16:29,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0106,7273,2720,241,100.0,True,,,,,,,,,,10G Hybrid Marijuana Leafs
56,56,02-05-2020 19:16:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0848,58181,21760,1931,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,02-05-2020 19:16:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,2,Тбилиси,10 гр,0.0307,21091,7888,700,290.0,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
58,58,02-05-2020 19:16:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2359,161816,60520,5372,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,02-05-2020 19:16:29,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,6,Тбилиси,10 гр,0.1669,113380,42405,3764,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,60,02-05-2020 19:16:29,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0395,26836,10037,891,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,02-05-2020 19:16:29,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5354,363632,136000,12072,5000.0,True,,,,,,,,,,METADON - 20 G.
62,62,02-05-2020 19:16:29,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0641,43563,16293,1446,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,02-05-2020 19:16:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1166,79999,29920,2656,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
64,64,02-05-2020 19:16:29,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,,нет,1,Тбилиси,50 гр,0.1469,101817,38080,3380,1400.0,True,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
65,65,02-05-2020 19:16:29,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2545,174543,65280,5794,2400.0,True,,,,,,,,,,100 gr marijuana buds
66,66,02-05-2020 19:16:29,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,2,Тбилиси,100 гр,0.3181,218179,81600,7243,3000.0,True,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
