,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Дигоми,Gldani,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Центр,Батуми,€,desc_en
0,0,14-08-2020 05:23:44,Tbilisi,f374062dcd,Очень мощный Сирец из Ирана 0.3гр,True,19,нет,Тбилиси,0.3 гр,0.0065,5889,2212,197,80.0,,,,,,,,,,,,,Ochen' moschnyj Sirets iz Irana 0.3gr
1,1,14-08-2020 05:23:44,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,6,нет,Тбилиси,0.5 гр,0.0024,2135,802,71,29.0,,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
2,2,14-08-2020 05:23:44,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0024,2135,802,71,29.0,,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
3,3,14-08-2020 05:23:44,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0024,2135,802,71,29.0,,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
4,4,14-08-2020 05:23:44,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,6,нет,Тбилиси,0.5 гр,0.0024,2135,802,71,29.0,,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
5,5,14-08-2020 05:23:44,Tbilisi,7c395c455d,0.5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33.0,,,,,,,,,,,,,0.5 gr Amnesia Haze shishki import s evropy tgk 28%
6,6,14-08-2020 05:23:44,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,1,нет,Тбилиси,0.5 гр,0.0028,2429,912,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
7,7,14-08-2020 05:23:44,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,0.5 гр,0.0025,2135,802,71,29.0,True,,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,8,14-08-2020 05:23:44,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0025,2208,830,74,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,9,14-08-2020 05:23:44,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0021,1840,691,62,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10,14-08-2020 05:23:44,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60.0,,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
11,11,14-08-2020 05:23:44,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0046,4048,1521,135,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
12,12,14-08-2020 05:23:44,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
13,13,14-08-2020 05:23:44,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4416,1659,148,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,14-08-2020 05:23:44,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0046,4048,1521,135,55.0,,,,,,,,,,,,,1 gr super lemon haze probnik
15,15,14-08-2020 05:23:44,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,4,нет,Тбилиси,1 гр,0.0045,3901,1465,130,53.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,16,14-08-2020 05:23:44,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4048,1521,135,55.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
17,17,14-08-2020 05:23:44,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,True,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
18,18,14-08-2020 05:23:44,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,9,нет,Тбилиси,1 гр,0.0049,4269,1604,143,58.0,,True,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
19,19,14-08-2020 05:23:44,Tbilisi,7918572a66,1G TYson Budds Скидка 5%,True,18,нет,Тбилиси,1 гр,0.0032,2944,1106,98,40.0,,,,True,,,,,,,,,1G TYson Budds Skidka 5%
20,20,14-08-2020 05:23:44,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0046,4048,1521,135,55.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
21,21,14-08-2020 05:23:44,Tbilisi,67187efef3,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3754,1410,126,51.0,,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
22,22,14-08-2020 05:23:44,Tbilisi,e56bb6ca93,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,4,нет,Тбилиси,1 гр,0.004,3460,1300,116,47.0,,,,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
23,23,14-08-2020 05:23:44,Tbilisi,0dec0e1c48,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,1 гр,0.0041,3533,1327,118,48.0,,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
24,24,14-08-2020 05:23:44,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,13,нет,Тбилиси,1 гр,0.0041,3607,1355,121,49.0,,,,,,,,,,,,,1gr HYBRID o.g
25,25,14-08-2020 05:23:44,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,12,нет,Тбилиси,1 гр,0.0049,4196,1576,140,57.0,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
26,26,14-08-2020 05:23:44,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
27,27,14-08-2020 05:23:44,Tbilisi,e771f4c371,MORNING GLORY 1G.( *VHQ*BUDS-26%THC) FROM EUROPE,,1,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54.0,,,,True,,,,,,,,,MORNING GLORY 1G.( *VHQ*BUDS-26%THC) FROM EUROPE
28,28,14-08-2020 05:23:44,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
29,29,14-08-2020 05:23:44,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4269,1604,143,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
30,30,14-08-2020 05:23:44,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4048,1521,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
31,31,14-08-2020 05:23:44,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3680,1383,123,50.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
32,32,14-08-2020 05:23:44,Tbilisi,3c9bc6f8e9,"Успейте попробовать. Урожай заканчивается. Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,1 гр,0.0042,4048,1521,135,55.0,,True,,,,,,,,,,,"Uspejte poprobovat'. Urozhaj zakanchivaetsja. Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
33,33,14-08-2020 05:23:44,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,2 гр,0.0084,7287,2737,244,99.0,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
34,34,14-08-2020 05:23:44,Tbilisi,21de5577be,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,1,нет,Тбилиси,2 гр,0.0083,7213,2710,241,98.0,,,,True,,,,,,,,,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
