,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,29-06-2020 02:47:12,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.11 гр.,True,1,нет,Тбилиси,0.11 гр,0.0052,3456,1345,119,50,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.11 gr.
1,29-06-2020 02:47:12,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,2,нет,Тбилиси,0.25 гр,0.01,6824,2653,235,,True,88,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,29-06-2020 02:47:12,Tbilisi,PTO3,MeDuZa777,"Black Gerain, Sirec VHQ 0.4g",True,1,нет,Тбилиси,0.4 гр,0.0124,8295,3228,286,120,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
3,29-06-2020 02:47:12,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0034,2281,888,79,33,,,,,,,,,,0.5 gr HYBRID buds
4,29-06-2020 02:47:12,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0145,9678,3766,334,140,,,,,,,,,,"Black Geroin, Sirec 0.5g"
5,29-06-2020 02:47:12,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0062,4148,1614,143,60,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,29-06-2020 02:47:12,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,14,нет,Тбилиси,1 гр,0.0055,3664,1426,126,53,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,29-06-2020 02:47:12,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0052,3456,1345,119,50,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,29-06-2020 02:47:12,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0312,20669,8043,713,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,29-06-2020 02:47:12,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,1,нет,Тбилиси,1 гр,0.0062,4148,1614,143,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
10,29-06-2020 02:47:12,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0051,3387,1318,117,49,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,29-06-2020 02:47:12,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0102,6844,2663,236,99,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,29-06-2020 02:47:12,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0114,7604,2959,262,110,,,,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
13,29-06-2020 02:47:12,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,8,нет,Тбилиси,2 гр,0.0078,5185,2018,179,75,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,29-06-2020 02:47:12,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,True,1,нет,Тбилиси,2 гр,0.0393,26269,10222,906,380,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
15,29-06-2020 02:47:12,Tbilisi,9Y6T,WeedShop,листя+бошки в трихомах 2г,True,2,нет,Тбилиси,2 гр,0.0038,2765,1076,95,40,,,,,,,,,,listja+boshki v trihomah 2g
16,29-06-2020 02:47:12,Tbilisi,1MZLP,WeedbooM,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5876,2287,203,85,,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
17,29-06-2020 02:47:12,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,22,нет,Тбилиси,3 гр,0.009,6014,2340,207,87,,,,,True,,,,,3 gr georgian weed. Package on magnet
18,29-06-2020 02:47:12,Tbilisi,2LY77,SveetWeed,5 + GRAMM NEW BEASTWEED,True,2,нет,Тбилиси,5 гр,0.0099,7258,2825,250,105,,,,,,,,,,5 + GRAMM NEW BEASTWEED
19,29-06-2020 02:47:12,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,22,нет,Тбилиси,5 гр,0.0072,4770,1856,164,69,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,29-06-2020 02:47:12,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.014,10300,4008,355,149,,,,,,,,,,5g. GEO Marihuana boshki
21,29-06-2020 02:47:12,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0052,3802,1480,131,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,29-06-2020 02:47:12,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,10 гр,0.0247,16522,6429,570,239,,,,,,,,,,10 gr georgian weed. Package on magnet
23,29-06-2020 02:47:12,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,15,нет,Тбилиси,10 гр,0.0135,8918,3470,308,129,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,29-06-2020 02:47:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0451,31108,12105,1073,450,,,,,,,,,,Gashish Evro 10gr
25,29-06-2020 02:47:12,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.008,5876,2287,203,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
26,29-06-2020 02:47:12,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,2,нет,Тбилиси,10 гр,0.0089,6567,2556,226,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
27,29-06-2020 02:47:12,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,2,нет,Тбилиси,11 гр,0.0169,12443,4842,429,180,,,,,,,,,,11+ GRAMM BEASTWEED NEW
28,29-06-2020 02:47:12,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.047,34564,13450,1192,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
29,29-06-2020 02:47:12,Tbilisi,HWUW,opiopi,GABAGAMA 40 SHTUK,True,1,нет,Тбилиси,40 гр,0.0052,3456,1345,119,50,,,,,,,,,,GABAGAMA 40 SHTUK
30,29-06-2020 02:47:12,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2087,138257,53800,4768,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,29-06-2020 02:47:12,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,4,Тбилиси,1 гр,0.0047,3111,1211,107,45,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
32,29-06-2020 02:47:12,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0093,6222,2421,215,90,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
33,29-06-2020 02:47:12,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0517,34219,13316,1180,495,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,29-06-2020 02:47:12,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0087,5816,2261,201,,,75,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
