,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Nadzaladevi,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,08-06-2020 06:30:45,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0162,10912,4269,379,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,08-06-2020 06:30:45,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0304,20521,8028,712,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,08-06-2020 06:30:45,Tbilisi,GYO,Hakeem,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,9,нет,Тбилиси,1 гр,0.005,3775,1477,131,55,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
3,08-06-2020 06:30:45,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0091,6108,2390,212,89,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
4,08-06-2020 06:30:45,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,5 гр,0.014,9540,3732,331,139,,,,,,,,,,,5 gr georgian weed. Package on magnet
5,08-06-2020 06:30:45,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.022,16472,6444,571,240,,,,,,,,,,,5g. marihuana shishki Critical
6,08-06-2020 06:30:45,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,5 гр,0.013,8854,3464,307,129,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
7,08-06-2020 06:30:45,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0178,12011,4699,417,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
8,08-06-2020 06:30:45,Tbilisi,LGRP8,Walker12,Химка !! 5 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,5 гр,0.0058,4118,1611,143,60,,True,,,,,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
9,08-06-2020 06:30:45,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,10 гр,0.0261,17776,6954,617,259,,,,,,,,,,,10 gr georgian weed. Package on magnet
