,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Центр,Батуми,desc_en
24,24,31-07-2020 19:59:39,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0032,3010,1142,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
25,25,31-07-2020 19:59:39,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0044,4038,1532,134,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
26,26,31-07-2020 19:59:39,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,5,нет,Тбилиси,1 гр,0.0051,4259,1616,141,58.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
27,27,31-07-2020 19:59:39,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
28,28,31-07-2020 19:59:39,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,3,нет,Тбилиси,1 гр,0.0038,3304,1254,110,45.0,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
29,29,31-07-2020 19:59:39,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
30,30,31-07-2020 19:59:39,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
31,31,31-07-2020 19:59:39,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0087,7343,2786,244,100.0,,True,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
32,32,31-07-2020 19:59:39,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
33,33,31-07-2020 19:59:39,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0077,6462,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
