,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,22-05-2020 02:01:04,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0038,2837,1078,95,40.0,,,,,,,,,,,suboxsone 0.4 g
1,1,22-05-2020 02:01:04,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0169,11277,4287,379,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,22-05-2020 02:01:04,Tbilisi,16a8841259,Ak - 47 0.5г,True,9,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30.0,,,,,,,,,,,Ak - 47 0.5g
3,3,22-05-2020 02:01:04,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,23,нет,Тбилиси,0.5 гр,0.0031,2057,782,69,29.0,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,22-05-2020 02:01:04,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30.0,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,22-05-2020 02:01:04,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0138,9220,3505,310,130.0,True,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,6,22-05-2020 02:01:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0248,16667,6336,561,235.0,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,22-05-2020 02:01:04,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.005,3688,1402,124,52.0,,,,,,,,,,,Lsd 25 buds 1 GR
8,8,22-05-2020 02:01:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0251,17022,6470,573,240.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,9,22-05-2020 02:01:04,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0043,2908,1105,98,41.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
10,10,22-05-2020 02:01:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0863,63832,24264,2147,900.0,,,,,,,,,,,Metadon 1gr
11,11,22-05-2020 02:01:04,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0255,16951,6443,570,239.0,True,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,12,22-05-2020 02:01:04,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0105,7092,2696,239,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,22-05-2020 02:01:04,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4965,1887,167,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,14,22-05-2020 02:01:04,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,2 гр,0.0094,6312,2399,212,89.0,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15,22-05-2020 02:01:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0496,33334,12671,1121,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
16,16,22-05-2020 02:01:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 2 шт. вес таблетки 450mg,,1,нет,Тбилиси,2 гр,0.0058,3901,1483,131,55.0,,True,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
17,17,22-05-2020 02:01:04,Tbilisi,917bf145e7,LSD 25 buds 2 GR,True,2,нет,Тбилиси,2 гр,0.0091,6738,2561,227,95.0,,,,,,,,,,,LSD 25 buds 2 GR
18,18,22-05-2020 02:01:04,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,5,нет,Тбилиси,2 гр,0.0094,6312,2399,212,89.0,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
19,19,22-05-2020 02:01:04,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009000000000000001,6029,2292,203,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
20,20,22-05-2020 02:01:04,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0127,8440,3208,284,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
21,21,22-05-2020 02:01:04,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.0137,9220,3505,310,130.0,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
22,22,22-05-2020 02:01:04,Tbilisi,4659482266,3g superskunk top class buds.,,7,нет,Тбилиси,3 гр,0.0133,8866,3370,298,125.0,,,,True,,,,,,,3g superskunk top class buds.
23,23,22-05-2020 02:01:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0112,7447,2831,250,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
24,24,22-05-2020 02:01:04,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,5 гр,0.0125,8440,3208,284,119.0,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
25,25,22-05-2020 02:01:04,Tbilisi,9610a68a0a,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0014,1064,404,36,15.0,,,,,,,,,,,GABAGAMA 10 SHTUK
26,26,22-05-2020 02:01:04,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.046,31916,12132,1074,450.0,,,,,,,,,,,Gashish Evro 10gr
27,27,22-05-2020 02:01:04,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,6,нет,Тбилиси,15 гр,0.0158,10639,4044,358,150.0,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
28,28,22-05-2020 02:01:04,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0786,55108,20948,1854,777.0,,,,,,,,,,,Gashish Evro 20gr
29,29,22-05-2020 02:01:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1917,141848,53920,4771,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,22-05-2020 02:01:04,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0104,7002,2664,235,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
31,31,22-05-2020 02:01:04,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0169,11348,4314,382,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
