,Unnamed: 0,time_stamp,region,sell_code,description,Vake,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Gldani,Nadzaladevi,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,01-05-2020 14:48:33,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,True,12,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24.0,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,1,01-05-2020 14:48:33,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,,14,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29.0,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,01-05-2020 14:48:33,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,,4,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55.0,True,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,01-05-2020 14:48:33,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,,6,нет,Тбилиси,1 гр,0.004,2982,1115,99,41.0,True,,,,,,,,,,Hybrid Ana-sha 1G.
4,4,01-05-2020 14:48:33,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,,5,нет,Тбилиси,1 гр,0.005,3418,1278,113,47.0,,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
5,5,01-05-2020 14:48:33,Tbilisi,61df6a1c90,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.0876,65454,24480,2173,900.0,True,,,,,,,,,,Metadon 1gr
6,6,01-05-2020 14:48:33,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,,2,нет,Тбилиси,2 гр,0.0107,7273,2720,241,100.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,01-05-2020 14:48:33,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,True,1,нет,Тбилиси,2 гр,0.0091,6182,2312,205,85.0,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,01-05-2020 14:48:33,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,,3,нет,Тбилиси,3 гр,0.0139,9454,3536,314,130.0,True,,,,,,,,,,3 G Hybrid Marijuana Big Buds
9,9,01-05-2020 14:48:33,Tbilisi,4659482266,3g superskunk top class buds.,,,7,нет,Тбилиси,3 гр,0.0129,8654,3237,287,119.0,,,True,,,,,,,,3g superskunk top class buds.
10,10,01-05-2020 14:48:33,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,,3,нет,Тбилиси,3 гр,0.0114,7636,2856,254,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,11,01-05-2020 14:48:33,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,,1,нет,Тбилиси,5 гр,0.0329,23272,8704,773,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
