,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
18,18,31-05-2020 19:44:16,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1202,82780,31649,2820,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
19,19,31-05-2020 19:44:16,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0293,19740,7547,672,279.0,,True,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
20,20,31-05-2020 19:44:16,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,15,нет,Тбилиси,10 гр,0.0106,7075,2705,241,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
21,21,31-05-2020 19:44:16,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,5,нет,Тбилиси,20 гр,0.0035,2547,974,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
22,22,31-05-2020 19:44:16,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.079,54974,21018,1873,777.0,,,,,,,,,,Gashish Evro 20gr
23,23,31-05-2020 19:44:16,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
24,24,31-05-2020 19:44:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1926,141504,54100,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,25,31-05-2020 19:44:16,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13089,5004,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
26,26,31-05-2020 19:44:16,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0225,14858,5681,506,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
27,27,31-05-2020 19:44:16,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0395,26107,9981,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,28,31-05-2020 19:44:16,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0619,40965,15662,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,29,31-05-2020 19:44:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0424,28301,10820,964,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,31-05-2020 19:44:16,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,4 гр,0.0148,9905,3787,337,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
31,31,31-05-2020 19:44:16,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0741,49526,18935,1687,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
32,32,31-05-2020 19:44:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0583,38914,14878,1326,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,31-05-2020 19:44:16,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0249,16627,6357,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
34,34,31-05-2020 19:44:58,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,35,31-05-2020 19:44:58,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,16980,6492,578,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,31-05-2020 19:44:58,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0254,16980,6492,578,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,31-05-2020 19:44:58,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
