,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
62,62,31-05-2020 19:44:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2115,141504,54100,4820,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,31-05-2020 19:44:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2644,176880,67625,6025,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,31-05-2020 19:44:58,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6239,417437,159595,14219,5900.0,,,,,,,,,,180 gr marihuana persoalno
65,65,31-05-2020 19:44:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4864,325459,124430,11086,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,31-05-2020 19:44:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7931,530640,202875,18075,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,31-05-2020 19:44:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8989,601392,229925,20485,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,31-05-2020 19:44:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14150,5410,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,31-05-2020 19:45:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14150,5410,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,31-05-2020 19:45:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,17688,6763,603,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,31-05-2020 19:45:29,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0212,14150,5410,482,200.0,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
72,72,31-05-2020 19:45:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6007,1061280,405750,36150,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,31-05-2020 19:46:29,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 гр",,2,нет,Батуми,0.25 гр,0.0053,3538,1353,121,50.0,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gr"
74,74,31-05-2020 19:46:29,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.233,155654,59510,5302,2200.0,,,,,,,True,,,[100g] SPAIN HASH
75,75,31-05-2020 19:46:29,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.009000000000000001,6014,2299,205,85.0,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
76,76,31-05-2020 19:46:29,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0239,16273,6222,554,230.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
77,77,31-05-2020 19:46:29,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0436,29716,11361,1012,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
78,78,31-05-2020 19:46:29,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5348,353760,135250,12050,5000.0,,,,,,,True,,,METADON - 20 G.
79,79,31-05-2020 19:46:29,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1691,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
80,80,31-05-2020 19:46:29,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2678,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
81,81,31-05-2020 19:46:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2705,241,100.0,,,,,,,True,,,kur'er v Batumi
82,82,31-05-2020 19:46:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17688,6763,603,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,31-05-2020 19:46:29,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17688,6763,603,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
84,84,31-05-2020 19:46:29,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0294,19637,7488,669,,,,,,,,True,250.0,,Rabota na marki (kur'er)
85,85,31-05-2020 19:46:29,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6031,1061280,405750,36150,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,31-05-2020 19:46:29,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,35376,13525,1205,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,31-05-2020 19:47:45,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,2 гр,0.0321,21862,8358,745,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
88,88,31-05-2020 19:47:45,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0202,13797,5275,470,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
89,89,31-05-2020 19:47:45,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0294,19637,7488,669,,,,,,,,,250.0,True,Rabota na marki (kur'er)
