,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
94,09-02-2020 17:18:22,Batumi,2PSS,DonDRAKON,"Combo: bruce lee, wembley, speedi+ (3g)",,2,нет,Батуми,3 гр,0.0131,9521,3705,326,150,,,,,,,,True,,,"Combo: bruce lee, wembley, speedi+ (3g)"
95,09-02-2020 17:18:22,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,4,10,Батуми,0.27 гр,0.0221,14408,5607,494,227,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
96,09-02-2020 17:18:22,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0175,12694,4940,435,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
97,09-02-2020 17:18:22,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0914,60298,23465,2067,950,,,,,,,,True,,,Hybrid Skunk! 50 gr
98,09-02-2020 17:18:22,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1732,114250,44460,3917,1800,,,,,,,,True,,,Hybrid Skunk! 100 gr
99,09-02-2020 17:18:22,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2915,190416,74100,6529,3000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
100,09-02-2020 17:18:22,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2429,158680,61750,5441,2500,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
101,09-02-2020 17:18:22,Batumi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0097,6347,2470,218,100,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
102,09-02-2020 17:18:22,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3174,1235,109,50,,,,,,,,True,,,kur'er v Batumi
103,09-02-2020 17:18:22,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3174,1235,109,50,,,,,,,,True,,,Vakansija Kur'era v Batumi
104,09-02-2020 17:18:22,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0069,5000,2301,171,,,,,,,,,True,,,Vakansija Kur'era v Batumi
105,09-02-2020 17:18:22,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0219,15868,6175,544,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
106,09-02-2020 17:18:22,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4563,952080,370500,32643,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
107,09-02-2020 17:18:22,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0481,31736,12350,1088,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
108,09-02-2020 17:19:49,Kutaisi,O9SXJ,Parnavaz,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,2,Кутаиси,1 гр,0.0036,2348,914,81,37,,,,,,,,,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
109,09-02-2020 17:19:49,Kutaisi,O9SXJ,Parnavaz,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.0102,6665,2594,229,105,,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
110,09-02-2020 17:19:49,Kutaisi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0097,6347,2470,218,100,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
