,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,09-02-2020 17:15:19,Tbilisi,TDSHF,THC,Weed From Gali(THC 23%) 1gr,,1,нет,Тбилиси,1 гр,0.0046,3174,1235,109,50,,,,True,,,,,,,Weed From Gali(THC 23%) 1gr
24,09-02-2020 17:15:19,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,1,нет,Тбилиси,1 гр,0.0138,9521,3705,326,150,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
25,09-02-2020 17:15:19,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.018,11996,4668,411,189,,,,,,,,,,,Kokain HQ 1g.
26,09-02-2020 17:15:19,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0433,28562,11115,979,450,,,,,,,,,,,"Metadon, 1gr"
27,09-02-2020 17:15:19,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0068,4443,1729,152,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
28,09-02-2020 17:15:19,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0363,24437,9510,838,385,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
29,09-02-2020 17:15:19,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0201,14599,5681,501,230,,,,,,,,,,,NZT-52 mind storm limited 2g muka
30,09-02-2020 17:15:19,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,5,нет,Тбилиси,2 гр,0.035,24056,9361,825,379,,,,,,,,,,,Kokain HQ 2g.
31,09-02-2020 17:16:13,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.035,25389,9880,870,400,,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
32,09-02-2020 17:16:13,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0192,13964,5434,479,220,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
33,09-02-2020 17:16:13,Tbilisi,9VLN,AlienShop,3г. SPEED Амфетамин стимулятор,True,2,нет,Тбилиси,3 гр,0.0096,6284,2445,215,99,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
34,09-02-2020 17:16:13,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0289,20946,8151,718,330,,,,,,,,,,,NZT-52 mind storm limited 3g muka
35,09-02-2020 17:16:13,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0851,61830,24065,2119,,,,,,888,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
