,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Didube,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,22-02-2020 02:59:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,5,Тбилиси,0.15 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,1,22-02-2020 02:59:08,Tbilisi,61df6a1c90,Метадон 0.15гр,True,3,нет,Тбилиси,0.15 гр,0.0118,8359,3186,288,130.0,,,,,,,,,,,,,Metadon 0.15gr
2,2,22-02-2020 02:59:08,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,3,нет,Тбилиси,0.25 гр,0.01,6430,2451,221,100.0,,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
3,3,22-02-2020 02:59:08,Tbilisi,7fa257ac43,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,3,нет,Тбилиси,0.33 гр,0.0071,4501,1716,155,70.0,,,,,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
4,4,22-02-2020 02:59:08,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,15,нет,Тбилиси,0.5 гр,0.006999999999999999,4437,1691,153,69.0,,,,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
5,5,22-02-2020 02:59:08,Tbilisi,366326d4d6,0.5 g. Ketamine,True,2,нет,Тбилиси,0.5 гр,0.006,3794,1446,131,59.0,,,,,,,,,,,,,0.5 g. Ketamine
6,6,22-02-2020 02:59:08,Tbilisi,21de5577be,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,9,нет,Тбилиси,0.5 гр,0.0029,1865,711,64,29.0,True,True,,,,,,,,,,,0.5 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
7,7,22-02-2020 02:59:08,Tbilisi,cb721d4bca,"0.5 mdma very strong best quality , import califronia , лучши мдма на саите",True,1,нет,Тбилиси,0.5 гр,0.006999999999999999,4501,1716,155,70.0,,,,,,,,,,,,,"0.5 mdma very strong best quality , import califronia , luchshi mdma na saite"
8,8,22-02-2020 02:59:08,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.009000000000000001,6366,2426,219,99.0,,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
9,9,22-02-2020 02:59:08,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,5,нет,Тбилиси,0.5 гр,0.0111,7073,2696,243,110.0,,,,,,,,,,,,,"Cocaine, 0.5 g"
10,10,22-02-2020 02:59:08,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0061,3858,1471,133,60.0,,,,,,,,,,,,,Ketamine 0.5g
11,11,22-02-2020 02:59:08,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,2,нет,Тбилиси,0.5 гр,0.0264,18647,7108,641,290.0,,,,,,,,,,,,,Metadon VHQ 0.5 24/7
12,12,22-02-2020 02:59:08,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,1,нет,Тбилиси,0.5 гр,0.0028,1800,686,62,28.0,,,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,13,22-02-2020 02:59:08,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0105,7009,2672,241,109.0,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
14,14,22-02-2020 02:59:08,Tbilisi,61df6a1c90,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0273,19290,7353,664,300.0,,,,,,,,,,,,,Metadon 0.6gr
