,time_stamp,region,sell_code,sell_name,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
0,17-06-2020 12:34:09,Tbilisi,LBSO,4RAW4,Heroin “sirec” 0.25g 4 person,True,True,9,нет,Тбилиси,0.25 гр,0.0118,8370,3228,285,120,,,,,,,,,Heroin “sirec” 0.25g 4 person
1,17-06-2020 12:34:09,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,True,,12,нет,Тбилиси,0.5 гр,0.0032,2162,834,74,31,,,,,,,,,Ak - 47 0.5g
2,17-06-2020 12:34:09,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,,5,нет,Тбилиси,0.5 гр,0.0173,11788,4546,402,169,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
3,17-06-2020 12:34:09,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,,4,нет,Тбилиси,0.5 гр,0.0031,2093,807,71,30,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,17-06-2020 12:34:09,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,True,3,нет,Тбилиси,0.5 гр,0.003,2023,780,69,29,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,17-06-2020 12:34:09,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,,,2,нет,Тбилиси,1 гр,0.004,2720,1049,93,39,,True,,,,,,,1 g marihuana shishki VHQ indika THC 20%
6,17-06-2020 12:34:09,Tbilisi,X4ZM,ZYX,NEW ! White Shark ! BUDS ! 1G,,True,3,нет,Тбилиси,1 гр,0.0046,3139,1211,107,45,,,,,,,,,NEW ! White Shark ! BUDS ! 1G
7,17-06-2020 12:34:09,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr,True,,4,нет,Тбилиси,1 гр,0.0056,3836,1480,131,55,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr
8,17-06-2020 12:34:09,Tbilisi,9Y6T,WeedShop,AK47 1.5г,True,,5,нет,Тбилиси,1.5 гр,0.0076,5231,2018,178,75,,,,,,,,,AK47 1.5g
9,17-06-2020 12:34:09,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,True,2,нет,Тбилиси,2 гр,0.0087,5929,2287,202,85,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
10,17-06-2020 12:34:09,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,,7,нет,Тбилиси,3 гр,0.0089,6068,2340,207,87,,,,,,,,,3 gr georgian weed. Package on magnet
11,17-06-2020 12:34:09,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,True,2,нет,Тбилиси,3 гр,0.0071,4813,1856,164,69,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
12,17-06-2020 12:34:09,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,,3,нет,Тбилиси,4 гр,0.0143,9765,3766,333,140,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
13,17-06-2020 12:34:09,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,,5,нет,Тбилиси,5 гр,0.0132,8998,3470,307,129,,,,,,,,,5 gr georgian weed. Package on magnet
14,17-06-2020 12:34:09,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,,2,нет,Тбилиси,5 гр,0.0223,16741,6456,570,240,,,,,,,,,5g. marihuana shishki Critical
15,17-06-2020 12:34:09,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,,7,нет,Тбилиси,5 гр,0.0181,12207,4708,416,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,17-06-2020 12:34:09,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,,3,нет,Тбилиси,5 гр,0.0101,6905,2663,235,99,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
17,17-06-2020 12:34:09,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,,2,нет,Тбилиси,10 гр,0.0245,16671,6429,568,239,,,,,,,,,10 gr georgian weed. Package on magnet
18,17-06-2020 12:34:09,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,,1,нет,Тбилиси,10 гр,0.0014,977,377,33,14,,,,,,,,,GABAGAMA 10 shtuk
19,17-06-2020 12:34:09,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,,9,нет,Тбилиси,10 гр,0.0079,5929,2287,202,85,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
20,17-06-2020 12:34:09,Tbilisi,LGRP8,Walker12,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4534,1749,154,65,,,True,,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
21,17-06-2020 12:34:09,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,,4,нет,Тбилиси,10 гр,0.0088,6626,2556,226,95,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
22,17-06-2020 12:34:09,Tbilisi,2LY77,SveetWeed,11 - GRAMM BEASTWEED,True,,5,нет,Тбилиси,11 гр,0.0186,13950,5380,475,200,,,,,,,,,11 - GRAMM BEASTWEED
23,17-06-2020 12:34:09,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,,1,нет,Тбилиси,12 гр,0.0465,34876,13450,1188,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
24,17-06-2020 12:34:09,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,,1,нет,Тбилиси,60 гр,0.2065,139505,53800,4753,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,17-06-2020 12:34:09,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),True,,нет,20,Тбилиси,1 гр,0.0358,24413,9415,832,350,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
26,17-06-2020 12:34:09,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,,нет,5,Тбилиси,2 гр,0.0381,25739,9926,877,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,17-06-2020 12:34:09,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0598,40387,15575,1376,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,17-06-2020 12:34:09,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.0409,27901,10760,951,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,17-06-2020 12:34:09,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,5,Тбилиси,5 гр,0.0563,38364,14795,1307,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,17-06-2020 12:34:09,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0241,16392,6322,558,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,17-06-2020 12:34:09,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,нет,5,Тбилиси,5 гр,0.0246,16741,6456,570,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,17-06-2020 12:34:09,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0235,16043,6187,547,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,17-06-2020 12:34:09,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0246,16741,6456,570,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,17-06-2020 12:34:48,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,7,Тбилиси,5 гр,0.0246,16741,6456,570,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,17-06-2020 12:34:48,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0236,16043,6187,547,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,17-06-2020 12:34:48,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0204,15276,5891,520,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,17-06-2020 12:34:48,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0241,16392,6322,558,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,17-06-2020 12:34:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2536,190000,87429,6473,,,,,,,,,,reagent 25i nbome. 5gr
39,17-06-2020 12:34:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2793,209257,80700,7129,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,,нет,8,Тбилиси,5 гр,0.0992,66893,25797,2279,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0197,13253,5111,452,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,17-06-2020 12:34:48,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.0506,34109,13154,1162,489,,,,,,,,,💘✨5g. MDMA ✨💘
43,17-06-2020 12:34:48,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0922,62777,24210,2139,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,17-06-2020 12:34:48,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.041,27901,10760,951,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
