,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,24-03-2020 13:04:01,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",True,7,нет,Тбилиси,0.25 гр,0.0266,15367,5377,502,190,,,,,,,,,,,"Metadon VHQ 0,25"
1,24-03-2020 13:04:01,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0559,32353,11320,1056,400,,,,,,,,,,,Metadon VHQ 0.5 24/7
2,24-03-2020 13:04:01,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0063,3640,1274,119,45,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
3,24-03-2020 13:04:01,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.007,4044,1415,132,50,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
4,24-03-2020 13:04:01,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.0064,3721,1302,121,46,,,,,,,,,,,Amsterdam weed sativa 1gr
5,24-03-2020 13:04:01,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0275,16581,5802,541,205,,,,,,,,,,,VHQ BEST Cocaine 1g.
6,24-03-2020 13:04:01,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,1,нет,Тбилиси,1 гр,0.0029,1860,651,61,23,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
7,24-03-2020 13:04:01,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0262,15287,5349,499,189,,,,,,,,,,,Kokain HQ 1g.
8,24-03-2020 13:04:01,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.025,14478,5066,472,179,True,,,,,,,,,,Kokain KOLUMBIA 1g
9,24-03-2020 13:04:01,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1144,72793,25470,2376,900,,,,,,,,,,,Metadon 1gr
10,24-03-2020 13:04:01,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0133,8493,2972,277,105,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
11,24-03-2020 13:04:01,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0126,7279,2547,238,90,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
12,24-03-2020 13:04:01,Tbilisi,8B31,Rastashop,2gr Indica dominant Buds,True,6,нет,Тбилиси,2 гр,0.0092,5338,1868,174,66,,True,,,,,,,,,2gr Indica dominant Buds
13,24-03-2020 13:04:01,Tbilisi,7LHWP,GEOBUDS,2gr Marijuana Buds -INDICA-,,1,нет,Тбилиси,2 гр,0.0087,5015,1755,164,62,,True,,,,,,,,,2gr Marijuana Buds -INDICA-
14,24-03-2020 13:04:01,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0508,30654,10726,1000,379,,,,,,,,,,,Kokain HQ 2g.
15,24-03-2020 13:04:01,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0148,8493,2972,277,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
16,24-03-2020 13:04:01,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,2,нет,Тбилиси,3 гр,0.0049,2831,991,92,35,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
17,24-03-2020 13:04:01,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,4,нет,Тбилиси,3 гр,0.0061,3882,1358,127,48,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
18,24-03-2020 13:04:01,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0407,25882,9056,845,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,24-03-2020 13:04:01,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0415,24264,8490,792,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,24-03-2020 13:04:01,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0417,25144,8874,821,,,,,290,,,,,,,5 gr mdma (skidka v bitkoin 5%)
21,24-03-2020 13:04:01,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0247,14154,4953,462,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,24-03-2020 13:04:01,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0224,12860,4500,420,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
23,24-03-2020 13:04:01,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0083,5257,1840,172,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24-03-2020 13:04:01,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0558,32272,11292,1053,399,,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
