,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Old Tbilisi (Старый город),Vake,Авлобари,Varketili,Батуми,Центр,desc_en
0,08-07-2020 10:01:44,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,3,нет,Тбилиси,0.25 гр,0.0117,8065,3029,273,99,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,08-07-2020 10:01:44,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,,1,нет,Тбилиси,0.25 гр,0.0108,7332,2754,248,90,True,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,08-07-2020 10:01:44,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,,1,нет,Тбилиси,0.5 гр,0.0036,2382,898,81,,True,33,,,,,,,,,0.5 gr HYBRID buds
3,08-07-2020 10:01:44,Tbilisi,9Y6T,WeedShop,0.5г Ak - 47,,,23,нет,Тбилиси,0.5 гр,0.0034,2310,870,78,,True,32,,,,,,,,,0.5g Ak - 47
4,08-07-2020 10:01:44,Tbilisi,9Y6T,WeedShop,0.5г Jamaican,,,2,нет,Тбилиси,0.5 гр,0.0033,2237,843,76,,True,31,,,,,,,,,0.5g Jamaican
5,08-07-2020 10:01:44,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,,1,нет,Тбилиси,0.5 гр,0.0034,2310,870,78,,,32,True,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,08-07-2020 10:01:44,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 1g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,True,1,нет,Тбилиси,1 гр,0.0397,27129,10190,918,333,,,,,,,,,,,!!! Iranian Sirec 1g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
7,08-07-2020 10:01:44,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,,2,нет,Тбилиси,1 гр,0.0064,4330,1632,147,,,60,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,08-07-2020 10:01:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,,1,нет,Тбилиси,1 гр,0.0063,4258,1605,144,,,59,,,,,,,,,1 G Hybrid Marijuana Buds
9,08-07-2020 10:01:44,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,,1,нет,Тбилиси,1 гр,0.0064,4330,1632,147,,,60,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
10,08-07-2020 10:01:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,,2,нет,Тбилиси,1 гр,0.0319,21579,8133,731,,True,299,,,,,,,,,Cocaine Pure VHQ 1g
11,08-07-2020 10:01:44,Tbilisi,QVK5,Galiak,The Best Weed In Your Life 1G 100%шишки! LIMITED,,True,2,нет,Тбилиси,1 гр,0.0069,4691,1768,159,,,65,,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
12,08-07-2020 10:01:44,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,True,,5,нет,Тбилиси,1 гр,0.0058,3897,1469,132,,,54,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
13,08-07-2020 10:01:44,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,True,,2,нет,Тбилиси,1 гр,0.0019,1299,490,44,,,18,,,,,,,,,Marki n-boooom!!! 1 sht.
14,08-07-2020 10:01:44,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,,4,нет,Тбилиси,2 гр,0.0106,7145,2693,242,,,99,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,08-07-2020 10:01:44,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,,2,нет,Тбилиси,2 гр,0.0116,7867,2965,266,,,109,,,,,,,,,2 G Hybrid Marijuana Buds
16,08-07-2020 10:01:44,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,,1,нет,Тбилиси,2 гр,0.0128,8661,3264,293,,True,120,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,08-07-2020 10:01:44,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,,1,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
18,08-07-2020 10:01:44,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
19,08-07-2020 10:01:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,,1,нет,Тбилиси,2 гр,0.0532,36014,13573,1220,,True,499,,,,,,,,,Cocaine Pure VHQ 2 g
20,08-07-2020 10:01:44,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,,1,нет,Тбилиси,2 гр,0.0107,7939,2992,269,,,110,,,,True,,,,,"Hindu Kush (photoperiod, regular) 2gr"
21,08-07-2020 10:01:44,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 2г.,True,,2,нет,Тбилиси,2 гр,0.0107,7217,2720,244,,,100,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
22,08-07-2020 10:01:44,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,14,нет,Тбилиси,3 гр,0.0059,3969,1496,134,,True,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
