,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Saburtalo,$,Тбилиси,Old Tbilisi (Старый город),Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
21,15-07-2020 20:50:29,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,2 гр,0.0115,7788,3009,266,,,110,True,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
22,15-07-2020 20:50:29,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8496,3282,290,,,120,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
23,15-07-2020 20:50:29,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,2 гр,0.0105,7080,2735,242,,,100,True,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
24,15-07-2020 20:50:29,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0105,7080,2735,242,,,100,True,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
25,15-07-2020 20:50:29,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,7,нет,Тбилиси,2 гр,0.0105,7788,3009,266,,,110,,,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
26,15-07-2020 20:50:29,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,3,нет,Тбилиси,2 гр,0.0125,8496,3282,290,,,120,True,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
27,15-07-2020 20:50:29,Tbilisi,9R7SU,ClownBaroN,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,1,нет,Тбилиси,2.2 гр,0.0112,7576,2926,259,,True,107,,,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
28,15-07-2020 20:50:29,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0124,9204,3556,315,,,130,True,,,,,,,,,3g. marihuana shishki Critical
29,15-07-2020 20:50:29,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,34,нет,Тбилиси,3 гр,0.0058,3894,1504,133,,,55,True,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
30,15-07-2020 20:50:29,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0272,18408,7111,629,,,260,True,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
31,15-07-2020 20:50:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,2,нет,Тбилиси,5 гр,0.0293,19824,7658,677,,,280,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,15-07-2020 20:50:29,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19116,7385,653,,,270,True,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,15-07-2020 20:50:29,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0185,13806,5333,472,,,195,True,,,,,,,,,5g. marihuana shishki Critical
34,15-07-2020 20:50:29,Tbilisi,7U9YP,ChitosPizz,Гашиш Твердый 5гр,,1,нет,Тбилиси,5 гр,0.0181,13452,5197,460,,,190,True,,,,,,,,,Gashish Tverdyj 5gr
35,15-07-2020 20:51:23,Tbilisi,43MUT,Canartvelo,"Трим и низовые шишки, 5 г Trichome trim 5 g",,5,нет,Тбилиси,5 гр,0.0053,3540,1368,121,,,50,True,,,,,,,,,"Trim i nizovye shishki, 5 g Trichome trim 5 g"
36,15-07-2020 20:51:23,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0456,31860,12308,1089,,,450,True,,,,,,,,,Gashish Evro 10gr
37,15-07-2020 20:51:23,Tbilisi,3TGJ9,Elegant,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0314,23364,9026,798,,,330,True,,,,,,,,,12g. marihuana shishki Critical
38,15-07-2020 20:51:23,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4602,1778,157,,,65,True,,,,,,,,,Silver haze leaves list'ja 15gr sale
39,15-07-2020 20:51:23,Tbilisi,HWUW,opiopi,GABAGAMA 40 SHTUK,,1,нет,Тбилиси,40 гр,0.0052,3540,1368,121,,,50,True,,,,,,,,,GABAGAMA 40 SHTUK
40,15-07-2020 20:51:23,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.211,141600,54700,4839,,,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,15-07-2020 20:51:23,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0373,25060,9660,850,310,,,True,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
42,15-07-2020 20:51:23,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,4,Тбилиси,2 гр,0.023,15576,6017,532,,,220,True,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
43,15-07-2020 20:51:23,Tbilisi,7U9YP,ChitosPizz,Кристаллы Синие мощные 3гр,,нет,1,Тбилиси,3 гр,0.0627,46728,18051,1597,,,660,True,,,,,,,,,Kristally Sinie moschnye 3gr
44,15-07-2020 20:51:23,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4602,1778,157,,,65,True,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
45,15-07-2020 20:51:23,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17700,6838,605,,,250,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
46,15-07-2020 20:51:23,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,3,Тбилиси,5 гр,0.0575,38940,15043,1331,,,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,15-07-2020 20:51:23,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0282,19116,7385,653,,,270,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,15-07-2020 20:51:23,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19470,7521,665,,,275,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,15-07-2020 20:51:23,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0251,16992,6564,581,,,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,15-07-2020 20:51:23,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0293,19824,7658,677,,,280,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,15-07-2020 20:51:23,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19116,7385,653,,,270,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,15-07-2020 20:51:23,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15505,5990,530,,,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
