,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,10-06-2020 17:47:45,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,True,5,нет,Тбилиси,0.25 гр,0.0144,10052,3922,346,129.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,10-06-2020 17:47:45,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,,1,нет,Тбилиси,0.5 гр,0.0161,10910,4253,378,,True,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,10-06-2020 17:47:45,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,,6,нет,Тбилиси,0.5 гр,0.0032,2196,856,76,,,32.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
3,3,10-06-2020 17:47:45,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,,2,нет,Тбилиси,1 гр,0.0242,16400,6393,568,,,239.0,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
4,4,10-06-2020 17:47:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,,2,нет,Тбилиси,2 гр,0.0472,32251,12573,1118,,True,470.0,,,,,,,,,Cocaine Pure VHQ 2 g
5,5,10-06-2020 17:47:45,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,,3,нет,Тбилиси,2 гр,0.0485,33486,13054,1161,,True,488.0,,,,,,,,,VHQ BEST Cocaine 2g.
6,6,10-06-2020 17:47:45,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,,2,нет,Тбилиси,2 гр,0.0085,5833,2274,202,,,85.0,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,7,10-06-2020 17:47:45,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,,35,нет,Тбилиси,3 гр,0.0087,5970,2327,207,,True,87.0,,,,,,,,,3 gr georgian weed. Package on magnet
8,8,10-06-2020 17:47:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,,13,нет,Тбилиси,5 гр,0.0139,9538,3718,331,,True,139.0,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,10-06-2020 17:47:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,,,2,нет,Тбилиси,5 гр,0.0219,16468,6420,571,,True,240.0,,,,,,,,,5g. marihuana shishki Critical
