,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,29-05-2020 23:00:12,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0102,7004,2678,239,99,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,29-05-2020 23:00:12,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,,7,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100,True,,,,,,,,,,Iranian Sirec 0.25g.
2,29-05-2020 23:00:12,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,,10,нет,Тбилиси,0.5 гр,0.0168,11250,4301,384,159,True,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,29-05-2020 23:00:12,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,5,нет,Тбилиси,0.5 гр,0.003,2052,784,70,29,,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,29-05-2020 23:00:12,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,6,нет,Тбилиси,0.5 гр,0.003,2123,812,72,30,,True,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,29-05-2020 23:00:12,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2052,784,70,29,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,29-05-2020 23:00:12,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,9,нет,Тбилиси,1 гр,0.0317,21155,8088,722,299,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,29-05-2020 23:00:12,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0858,63677,24345,2172,900,True,,,,,,,,,,Metadon 1gr
8,29-05-2020 23:00:12,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,9,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
9,29-05-2020 23:00:12,Tbilisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Тбилиси,3 гр,0.02,13797,5275,471,195,,,True,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
