,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,22-06-2020 00:56:44,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0123,8503,3286,291,109.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,22-06-2020 00:56:44,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0093,6262,2421,214,,True,90.0,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,22-06-2020 00:56:44,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,10,нет,Тбилиси,0.5 гр,0.018000000000000002,12175,4708,416,,True,175.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,22-06-2020 00:56:44,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0165,11132,4304,380,,True,160.0,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,22-06-2020 00:56:44,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,24,нет,Тбилиси,0.5 гр,0.0031,2087,807,71,,True,30.0,,True,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,22-06-2020 00:56:44,Tbilisi,16a8841259,Skunk 0.5г,,12,нет,Тбилиси,0.5 гр,0.0032,2157,834,74,,True,31.0,,True,,,,,,,Skunk 0.5g
6,6,22-06-2020 00:56:44,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,9,нет,Тбилиси,0.5 гр,0.003,2087,807,71,,True,30.0,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
7,7,22-06-2020 00:56:44,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.013999999999999999,10436,4035,356,,True,150.0,,,,,,,,,KETAMIN WHQ 0.5g
8,8,22-06-2020 00:56:44,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0061,4105,1587,140,,True,59.0,,,,,,,,,1 G Hybrid Marijuana Buds
9,9,22-06-2020 00:56:44,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",,3,нет,Тбилиси,1 гр,0.0057,3826,1480,131,,True,55.0,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
10,10,22-06-2020 00:56:44,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0062,4174,1614,143,,,60.0,,True,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,22-06-2020 00:56:44,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0061,4105,1587,140,,True,59.0,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,22-06-2020 00:56:44,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.006,4035,1560,138,,,58.0,,,True,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
13,13,22-06-2020 00:56:44,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0062,4174,1614,143,,,60.0,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,14,22-06-2020 00:56:44,Tbilisi,ebadfc162f,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,1,нет,Тбилиси,1 гр,0.005,3409,1318,116,,,49.0,,,,True,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
15,15,22-06-2020 00:56:44,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,True,5,нет,Тбилиси,1 гр,0.0313,21150,8178,722,,True,304.0,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
16,16,22-06-2020 00:56:44,Tbilisi,16a8841259,Skunk 1Г,,6,нет,Тбилиси,1 гр,0.0057,3826,1480,131,,True,55.0,,,,,,,,,Skunk 1G
17,17,22-06-2020 00:56:44,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1252,484,43,,,18.0,,True,,,,,,,Marki n-boooom!!! 1 sht.
18,18,22-06-2020 00:56:44,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,14,нет,Тбилиси,2 гр,0.0112,7583,2932,259,,True,109.0,,,True,,,,,,2 G Hybrid Marijuana Buds
19,19,22-06-2020 00:56:44,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0113,7653,2959,261,,,110.0,,,True,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
20,20,22-06-2020 00:56:44,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0113,7653,2959,261,,,110.0,,True,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
21,21,22-06-2020 00:56:44,Tbilisi,4a91350669,2 шишки Girl Scout Cookies тгк thc 28%,,1,нет,Тбилиси,2 гр,0.0102,6888,2663,235,,,99.0,,,True,,,,,,2 shishki Girl Scout Cookies tgk thc 28%
22,22,22-06-2020 00:56:44,Tbilisi,0dec0e1c48,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.0091,6122,2367,209,,True,88.0,,,,,,,,,2gr HYBRID buds
23,23,22-06-2020 00:56:44,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,4,нет,Тбилиси,2 гр,0.0091,6122,2367,209,,,88.0,,,True,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
24,24,22-06-2020 00:56:44,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,4,нет,Тбилиси,2 гр,0.0482,32630,12616,1114,,True,469.0,,,,,,,,,Cocaine Pure VHQ 2 g
25,25,22-06-2020 00:56:44,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5914,2287,202,,,85.0,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
26,26,22-06-2020 00:56:44,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,33,нет,Тбилиси,3 гр,0.0089,6053,2340,207,,True,87.0,,,,,,,,,3 gr georgian weed. Package on magnet
27,27,22-06-2020 00:56:44,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,5,нет,Тбилиси,3 гр,0.0071,4801,1856,164,,True,69.0,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
28,28,22-06-2020 00:56:44,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0144,9740,3766,333,,,140.0,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,22-06-2020 00:56:44,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0133,8975,3470,306,,True,129.0,,,,,,,,,5 gr georgian weed. Package on magnet
30,30,22-06-2020 00:56:44,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0224,16697,6456,570,,True,240.0,,,,,,,,,5g. marihuana shishki Critical
31,31,22-06-2020 00:56:44,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,5 гр,0.0182,12175,4708,416,,True,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,32,22-06-2020 00:56:44,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,4,нет,Тбилиси,5 гр,0.1179,81400,31473,2780,,True,1170.0,,,,,,,,,VHQ BEST Cocaine 5g.
33,33,22-06-2020 00:56:44,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,5 гр,0.0102,6888,2663,235,,True,99.0,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
34,34,22-06-2020 00:56:44,Tbilisi,54915c4374,марки н-боом 5шт.,,5,10,Тбилиси,5 гр,0.0067,4522,1749,154,,True,65.0,,True,,,,,,,marki n-boom 5sht.
35,35,22-06-2020 00:56:44,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,10,нет,Тбилиси,10 гр,0.0246,16628,6429,568,,True,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
36,36,22-06-2020 00:57:35,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,7,нет,Тбилиси,10 гр,0.0204,13845,5353,473,,True,199.0,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
37,37,22-06-2020 00:57:35,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,19,нет,Тбилиси,10 гр,0.0097,6540,2529,223,,True,94.0,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
38,38,22-06-2020 00:57:35,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,4,нет,Тбилиси,11 гр,0.0168,12523,4842,428,,True,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
39,39,22-06-2020 00:57:35,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0467,34786,13450,1188,,True,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
40,40,22-06-2020 00:57:35,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2072,139145,53800,4751,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,22-06-2020 00:57:35,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,4,Тбилиси,0.5 гр,0.0092,6262,2421,214,,True,90.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
42,42,22-06-2020 00:57:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,8,Тбилиси,1 гр,0.0046,3131,1211,107,,True,45.0,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
43,43,22-06-2020 00:57:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,10,Тбилиси,2 гр,0.0092,6262,2421,214,,True,90.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
44,44,22-06-2020 00:57:35,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0383,25672,9926,877,,True,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,45,22-06-2020 00:57:35,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0086,5850,2261,200,75.0,True,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
46,46,22-06-2020 00:57:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,10,Тбилиси,3 гр,0.0123,8349,3228,285,,True,120.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
47,47,22-06-2020 00:57:35,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.06,40282,15575,1376,,True,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,48,22-06-2020 00:57:35,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0411,27829,10760,950,,True,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
