,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-03-2020 10:10:23,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,7,нет,Тбилиси,0.25 гр,0.0231,15124,5426,487,210,,,,,,,,,Metadon VHQ 0.25 24/7
1,11-03-2020 10:10:23,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,2,нет,Тбилиси,0.35 гр,0.0391,23047,8269,743,320,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,11-03-2020 10:10:23,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0121,7130,2558,230,99,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
3,11-03-2020 10:10:23,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0127,7850,2817,253,109,,,,,,,,,Pure COCAINE VHQ 0.5g
4,11-03-2020 10:10:23,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,3,нет,Тбилиси,0.5 гр,0.0036,2161,775,70,30,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
5,11-03-2020 10:10:23,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0121,7130,2558,230,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,11-03-2020 10:10:23,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0047,2809,1008,91,39,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
7,11-03-2020 10:10:23,Tbilisi,ABOAB,ProGrow,1G ---> INDICA,,4,нет,Тбилиси,1 гр,0.0042,2521,904,81,35,True,,,,,,,,1G ---> INDICA
8,11-03-2020 10:10:23,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,11-03-2020 10:10:23,Tbilisi,LYHBG,Playboy,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,6,нет,Тбилиси,1 гр,0.0242,14260,5116,460,198,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
10,11-03-2020 10:10:23,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,4,нет,Тбилиси,1 гр,0.0154,10083,3618,325,140,,,,,,,,,ALFA PVP 1g
11,11-03-2020 10:10:23,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,13,нет,Тбилиси,1 гр,0.0182,10803,3876,348,150,,,,,,,,,Apvp VHQ 1g 24/7
12,11-03-2020 10:10:23,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0208,12892,4625,415,179,,,,,,,,,Cocaine Pure VHQ 1g
13,11-03-2020 10:10:23,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.066,43212,15504,1392,600,,,,,,,,,Metadon VHQ 1 24/7
14,11-03-2020 10:10:23,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0054,3241,1163,104,45,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
15,11-03-2020 10:10:23,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0231,13612,4884,439,189,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
16,11-03-2020 10:10:23,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0154,10083,3618,325,140,,,,,,,,,NZT-52 mind storm limited 1g muka
17,11-03-2020 10:10:23,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0231,14332,5142,462,199,,,,,,,,,VHQ BEST Cocaine 1g.
