,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,01-06-2020 04:59:45,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.017,11250,4301,383,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,01-06-2020 04:59:45,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,2,нет,Тбилиси,0.5 гр,0.003,2123,812,72,30,True,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
2,01-06-2020 04:59:45,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0139,9198,3517,313,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,01-06-2020 04:59:45,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0319,21155,8088,721,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,01-06-2020 04:59:45,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0865,63677,24345,2169,900,,,,,,,,,,Metadon 1gr
5,01-06-2020 04:59:45,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0255,16910,6465,576,239,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,01-06-2020 04:59:45,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0116,7712,2948,263,109,True,,,,,,,,,✨ 1g. MDMA ✨
7,01-06-2020 04:59:45,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0093,6226,2380,212,88,,,,,,,,,,2gr HYBRID buds
8,01-06-2020 04:59:45,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0127,8419,3219,287,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
9,01-06-2020 04:59:45,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,3 гр,0.0092,6155,2353,210,87,,,,,,,,,,3 gr georgian weed. Package on magnet
10,01-06-2020 04:59:45,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7429,2840,253,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,01-06-2020 04:59:45,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0187,13797,5275,470,195,,,,,,,,,,4g.marihuana shishki white widow
12,01-06-2020 04:59:45,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0113,7570,2894,258,107,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
13,01-06-2020 04:59:45,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0206,14080,5383,480,199,,True,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
14,01-06-2020 04:59:45,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0314,21226,8115,723,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
15,01-06-2020 04:59:45,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0147,9835,3760,335,139,,,,,,,,,,5 gr georgian weed. Package on magnet
16,01-06-2020 04:59:45,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0231,16980,6492,578,240,,,,,,,,,,5g. marihuana shishki Critical
17,01-06-2020 04:59:45,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0126,8419,3219,287,119,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
18,01-06-2020 04:59:45,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0187,12382,4734,422,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,01-06-2020 04:59:45,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1216,81365,31108,2772,1150,,,,,,,,,,Cocaine Pure VHQ 5g.
20,01-06-2020 04:59:45,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1199,82780,31649,2820,1170,,,,,,,,,,VHQ BEST Cocaine 5g.
21,01-06-2020 04:59:45,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0292,19740,7547,672,279,,True,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
22,01-06-2020 04:59:45,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0106,7075,2705,241,100,,,True,,,,,,,10 gr marihuana list'ja top gibrid
23,01-06-2020 04:59:45,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0035,2547,974,87,36,,,,,,,,,,GABAGAMA 20 SHTUK
24,01-06-2020 04:59:45,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80,,,,,,,,,,GABAGAMA 50 SHTUK
25,01-06-2020 04:59:45,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1922,141504,54100,4820,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,01-06-2020 04:59:45,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13089,5004,446,185,,,,,,,,,,GABAGAMA 150 shtuk
27,01-06-2020 04:59:45,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,50,Тбилиси,0.33 гр,0.0159,10613,4058,362,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
