,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
12,11-08-2020 09:09:05,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,2,нет,Тбилиси,0.5 гр,0.0021,1844,695,61,25,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
13,11-08-2020 09:09:05,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,16,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
14,11-08-2020 09:09:05,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,11-08-2020 09:09:05,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,11-08-2020 09:09:05,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
17,11-08-2020 09:09:05,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,11-08-2020 09:09:05,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,11-08-2020 09:09:05,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.005,4353,1640,144,59,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
20,11-08-2020 09:09:05,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,1 гр,0.0047,4058,1529,135,55,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
21,11-08-2020 09:09:05,Tbilisi,7R3WM,RastaShop,1.0 gr. Purple Haze ☘️(100 % Sativa)☘️,,2,нет,Тбилиси,1 гр,0.0047,4058,1529,135,55,True,,,,,,,,,,,1.0 gr. Purple Haze ☘️(100 % Sativa)☘️
22,11-08-2020 09:09:05,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,4,нет,Тбилиси,1 гр,0.0333,28698,10814,952,389,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
23,11-08-2020 09:09:05,Tbilisi,OX85,amnesia420,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,3,нет,Тбилиси,1 гр,0.0041,3541,1334,118,48,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
24,11-08-2020 09:09:05,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0051,4427,1668,147,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
25,11-08-2020 09:09:05,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,31,нет,Тбилиси,1 гр,0.0042,3615,1362,120,49,,,,,,,,,,,,1gr HYBRID o.g
26,11-08-2020 09:09:05,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,15,нет,Тбилиси,1 гр,0.0049,4205,1585,140,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
27,11-08-2020 09:09:05,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0042,3615,1362,120,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
28,11-08-2020 09:09:05,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,11-08-2020 09:09:05,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,4,нет,Тбилиси,1 гр,0.0048,4205,1585,140,57,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
30,11-08-2020 09:09:05,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3984,1501,132,54,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
31,11-08-2020 09:09:05,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.0049,4279,1612,142,58,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
32,11-08-2020 09:09:05,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4058,1529,135,55,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
33,11-08-2020 09:09:05,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,12,нет,Тбилиси,1 гр,0.0036,3246,1223,108,44,,,,,,,,,,,,TYson Budds 1G Skidka 5%
34,11-08-2020 09:09:05,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3689,1390,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
35,11-08-2020 09:09:05,Tbilisi,I7IU,MrPickless,АКЦИЯ-1g hindu kish best buds BTC 11% sale,True,3,нет,Тбилиси,1 гр,0.0035,3394,1279,113,46,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 11% sale
36,11-08-2020 09:10:14,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,9,нет,Тбилиси,1 гр,0.0031,2656,1001,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
37,11-08-2020 09:10:14,Tbilisi,I7IU,MrPickless,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0028,2582,973,86,35,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
38,11-08-2020 09:10:14,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,6,нет,Тбилиси,2 гр,0.0085,7304,2752,242,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
39,11-08-2020 09:10:14,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0102,8853,3336,294,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
40,11-08-2020 09:10:14,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7378,2780,245,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
41,11-08-2020 09:10:14,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0084,7304,2752,242,99,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
42,11-08-2020 09:10:14,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0075,6492,2446,215,88,,,,,,,,,,,,2gr HYBRID buds
43,11-08-2020 09:10:14,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0079,6861,2585,228,93,,True,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
44,11-08-2020 09:10:14,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0085,7304,2752,242,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
45,11-08-2020 09:10:14,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0085,7304,2752,242,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
46,11-08-2020 09:10:14,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0062,5902,2224,196,80,,,,,,,,,,,,TYson Budds 2G Skidka 5%
47,11-08-2020 09:10:14,Tbilisi,9R7SU,ClownBaroN,3G CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤ SPECIAL PRICE,,1,нет,Тбилиси,3 гр,0.0127,11066,4170,367,150,True,,,,,,,,,,,3G CLOWNBARON ShIShKI* VHQ*♤THC 28%♤ SPECIAL PRICE
48,11-08-2020 09:10:14,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan (подезд),,2,нет,Тбилиси,3 гр,0.0021,1771,667,59,24,,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
49,11-08-2020 09:10:14,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6640,2502,220,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
50,11-08-2020 09:10:14,Tbilisi,43MUT,Canartvelo,"Трим и низовые шишки,/trichome trim and budshake 3г/3g",True,1,нет,Тбилиси,3 гр,0.0025,2139,806,71,29,,,,,,,,,,,,"Trim i nizovye shishki,/trichome trim and budshake 3g/3g"
51,11-08-2020 09:10:14,Tbilisi,V76M,Endorphin,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0045,4058,1529,135,55,True,,,,,,,,,,,Suboxene 4mg
52,11-08-2020 09:10:14,Tbilisi,43MUT,Canartvelo,"Трим и низовые шишки, 5 г Trichome trim 5 g",True,3,нет,Тбилиси,5 гр,0.0039,3320,1251,110,45,,,,,,,,,,,,"Trim i nizovye shishki, 5 g Trichome trim 5 g"
53,11-08-2020 09:10:14,Tbilisi,2LY77,SveetWeed,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0161,15419,5810,512,209,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
54,11-08-2020 09:10:14,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0212,18444,6950,612,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
55,11-08-2020 09:10:14,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0229,19919,7506,661,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,11-08-2020 09:10:14,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0233,20288,7645,673,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
57,11-08-2020 09:10:14,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0203,17706,6672,588,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,11-08-2020 09:10:14,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0237,20657,7784,686,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,11-08-2020 09:10:14,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,19919,7506,661,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,11-08-2020 09:10:14,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0169,16157,6088,536,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,11-08-2020 09:10:14,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0185,17706,6672,588,240,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
62,11-08-2020 09:10:14,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0229,19919,7506,661,270,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,11-08-2020 09:10:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1985,190000,87429,6317,,,,,,,,,,,,,reagent 25i nbome. 5gr
64,11-08-2020 09:10:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2312,221325,83400,7345,3000,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
