,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,29-05-2020 23:12:08,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0102,7004,2678,239,99.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,29-05-2020 23:12:08,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,7,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100.0,True,,,,,,,,,,Iranian Sirec 0.25g.
2,2,29-05-2020 23:12:08,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,10,нет,Тбилиси,0.5 гр,0.0168,11250,4301,384,159.0,True,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,29-05-2020 23:12:08,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,5,нет,Тбилиси,0.5 гр,0.003,2052,784,70,29.0,,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,29-05-2020 23:12:08,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,6,нет,Тбилиси,0.5 гр,0.003,2123,812,72,30.0,,True,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,5,29-05-2020 23:12:08,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2052,784,70,29.0,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,29-05-2020 23:12:08,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,9,нет,Тбилиси,1 гр,0.0317,21155,8088,722,299.0,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,29-05-2020 23:12:08,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0858,63677,24345,2172,900.0,True,,,,,,,,,,Metadon 1gr
8,8,29-05-2020 23:12:08,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,9,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
9,9,29-05-2020 23:12:08,Tbilisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Тбилиси,3 гр,0.02,13797,5275,471,195.0,,,True,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
10,10,29-05-2020 23:12:08,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,8,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,11,29-05-2020 23:12:08,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0311,21226,8115,724,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,29-05-2020 23:12:08,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,20,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100.0,True,,,True,,,,,,,10 gr marihuana list'ja top gibrid
13,13,29-05-2020 23:12:08,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0457,31838,12173,1086,450.0,True,,,,,,,,,,Gashish Evro 10gr
14,14,29-05-2020 23:12:08,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,5,нет,Тбилиси,20 гр,0.0034,2547,974,87,36.0,True,,,,,,,,,,GABAGAMA 20 SHTUK
15,15,29-05-2020 23:12:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0782,54974,21018,1875,777.0,True,,,,,,,,,,Gashish Evro 20gr
16,16,29-05-2020 23:12:08,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80.0,True,,,,,,,,,,GABAGAMA 50 SHTUK
17,17,29-05-2020 23:12:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1906,141504,54100,4827,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,18,29-05-2020 23:12:08,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0176,13089,5004,447,185.0,True,,,,,,,,,,GABAGAMA 150 shtuk
19,19,29-05-2020 23:12:08,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0222,14858,5681,507,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
20,20,29-05-2020 23:12:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,2 гр,0.0089,6014,2299,205,85.0,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
21,21,29-05-2020 23:12:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0391,26107,9981,891,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,22,29-05-2020 23:12:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0613,40965,15662,1398,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,23,29-05-2020 23:12:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0419,28301,10820,965,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,29-05-2020 23:12:08,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0147,9905,3787,338,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
25,25,29-05-2020 23:12:08,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0734,49526,18935,1690,700.0,True,,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,26,29-05-2020 23:12:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0577,38914,14878,1328,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,29-05-2020 23:12:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0246,16627,6357,567,235.0,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,29-05-2020 23:12:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0252,16980,6492,579,240.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,29-05-2020 23:12:08,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0241,16273,6222,555,230.0,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
