,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Центр,Батуми,€,desc_en
11,16-08-2020 07:44:44,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.50G Imported Crystals,True,1,нет,Тбилиси,0.5 гр,0.0518,45028,16974,1511,615,,,,,,,,,,,,VHQ Methadon 0.50G Imported Crystals
12,16-08-2020 07:44:44,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 05g.,True,1,нет,Тбилиси,0.5 гр,0.0021,1830,690,61,25,,,,,,,,,,,,Boshki OG Kush 05g.
13,16-08-2020 07:44:44,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,4,нет,Тбилиси,0.5 гр,0.0024,2050,773,69,28,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
14,16-08-2020 07:44:44,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 G Hybrid Marijuana Buds
15,16-08-2020 07:44:44,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0045,3954,1490,133,54,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
16,16-08-2020 07:44:44,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4393,1656,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
17,16-08-2020 07:44:44,Tbilisi,BB6E,WEEDSH0P,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
18,16-08-2020 07:44:44,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 gr super lemon haze probnik
19,16-08-2020 07:44:44,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,16-08-2020 07:44:44,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
