,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,10-06-2020 13:27:58,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0554,37771,14713,1308,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,24,10-06-2020 13:27:58,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,,нет,8,Тбилиси,5 гр,0.0237,16139,6286,559,,True,235.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,25,10-06-2020 13:27:58,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,5,Тбилиси,5 гр,0.0242,16482,6420,571,,True,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26,10-06-2020 13:27:58,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,,нет,7,Тбилиси,5 гр,0.0232,15795,6153,547,,True,230.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,27,10-06-2020 13:27:58,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0242,16482,6420,571,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
28,28,10-06-2020 13:27:58,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,8,Тбилиси,5 гр,0.0242,16482,6420,571,,True,240.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,29,10-06-2020 13:27:58,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0232,15795,6153,547,,True,230.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,10-06-2020 13:27:58,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0201,15040,5858,521,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,10-06-2020 13:27:58,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,,нет,2,Тбилиси,5 гр,0.0255,17169,6688,595,,True,250.0,,,,,,,,,MARIXYANA - INDICA - 5 G.
32,32,10-06-2020 13:27:58,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0237,16139,6286,559,,True,235.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,10-06-2020 13:27:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2535,190000,87429,6572,,True,,,,,,,,,,reagent 25i nbome. 5gr
34,34,10-06-2020 13:28:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2746,206024,80250,7136,,,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,10-06-2020 13:28:56,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,8,Тбилиси,5 гр,0.0975,65859,25653,2281,,True,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,36,10-06-2020 13:28:56,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,10,Тбилиси,5 гр,0.0193,13048,5083,452,,True,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,37,10-06-2020 13:28:56,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,10,Тбилиси,5 гр,0.0497,33582,13081,1163,,True,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
38,38,10-06-2020 13:28:56,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0906,61807,24075,2141,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,39,10-06-2020 13:28:56,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0403,27470,10700,951,,True,400.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,40,10-06-2020 13:28:56,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,2,Тбилиси,10 гр,0.0705,48072,18725,1665,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,10-06-2020 13:28:56,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0423,28843,11235,999,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,10-06-2020 13:28:56,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,3,Тбилиси,10 гр,0.0805,54940,21400,1903,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,43,10-06-2020 13:28:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,,нет,1,Тбилиси,10 гр,0.0269,18336,7142,635,,True,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
44,44,10-06-2020 13:28:56,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.22399999999999998,152801,59519,5292,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
